date,point_id,mgrs_tile,mgrs_zone,nlcd,nlcd_year,count,et,eto
2015-10-01,16RBU_nlcd24_00,16RBU,16R,24,2024,5.0,45.0,87
2015-10-01,16RBU_nlcd24_01,16RBU,16R,24,2024,5.0,61.0,87
2015-10-01,16RBV_nlcd24_00,16RBV,16R,24,2024,4.0,82.0,90
2015-10-01,16RBV_nlcd24_01,16RBV,16R,24,2024,4.0,40.0,91
2015-10-01,16RCU_nlcd24_00,16RCU,16R,24,2024,4.0,25.0,86
2015-10-01,16RCU_nlcd24_01,16RCU,16R,24,2024,4.0,32.0,85
2015-10-01,16RCV_nlcd24_00,16RCV,16R,24,2024,5.0,49.0,84
2015-10-01,16RCV_nlcd24_01,16RCV,16R,24,2024,5.0,24.0,84
2015-10-01,16RDU_nlcd24_00,16RDU,16R,24,2024,5.0,36.0,88
2015-10-01,16RDU_nlcd24_01,16RDU,16R,24,2024,4.0,11.0,82
2015-10-01,16RDV_nlcd24_00,16RDV,16R,24,2024,5.0,27.0,82
2015-10-01,16RDV_nlcd24_01,16RDV,16R,24,2024,5.0,42.0,79
2015-10-01,16REV_nlcd24_00,16REV,16R,24,2024,4.0,7.0,79
2015-10-01,16REV_nlcd24_01,16REV,16R,24,2024,5.0,45.0,85
2015-10-01,16RFU_nlcd24_00,16RFU,16R,24,2024,5.0,41.0,93
2015-10-01,16RFU_nlcd24_01,16RFU,16R,24,2024,4.0,32.0,90
2015-10-01,16RFV_nlcd24_00,16RFV,16R,24,2024,4.0,18.0,84
2015-10-01,16RFV_nlcd24_01,16RFV,16R,24,2024,5.0,46.0,82
2015-10-01,16RGU_nlcd24_00,16RGU,16R,24,2024,5.0,29.0,90
2015-10-01,16RGU_nlcd24_01,16RGU,16R,24,2024,5.0,23.0,89
2015-10-01,16RGV_nlcd24_00,16RGV,16R,24,2024,5.0,29.0,83
2015-10-01,16RGV_nlcd24_01,16RGV,16R,24,2024,4.0,14.0,89
2015-10-01,16RBU_nlcd31_00,16RBU,16R,31,2024,6.0,46.0,88
2015-10-01,16RBU_nlcd31_01,16RBU,16R,31,2024,5.0,96.0,86
2015-10-01,16RBV_nlcd31_00,16RBV,16R,31,2024,4.0,45.0,89
2015-10-01,16RBV_nlcd31_01,16RBV,16R,31,2024,4.0,33.0,91
2015-10-01,16RCU_nlcd31_00,16RCU,16R,31,2024,5.0,24.0,81
2015-10-01,16RCU_nlcd31_01,16RCU,16R,31,2024,4.0,27.0,83
2015-10-01,16RCV_nlcd31_00,16RCV,16R,31,2024,5.0,84.0,85
2015-10-01,16RCV_nlcd31_01,16RCV,16R,31,2024,5.0,74.0,89
2015-10-01,16RDU_nlcd31_00,16RDU,16R,31,2024,4.0,54.0,87
2015-10-01,16RDU_nlcd31_01,16RDU,16R,31,2024,5.0,30.0,86
2015-10-01,16RDV_nlcd31_00,16RDV,16R,31,2024,5.0,52.0,81
2015-10-01,16RDV_nlcd31_01,16RDV,16R,31,2024,4.0,85.0,81
2015-10-01,16REV_nlcd31_00,16REV,16R,31,2024,5.0,77.0,84
2015-10-01,16REV_nlcd31_01,16REV,16R,31,2024,5.0,70.0,83
2015-10-01,16RFU_nlcd31_00,16RFU,16R,31,2024,4.0,14.0,92
2015-10-01,16RFU_nlcd31_01,16RFU,16R,31,2024,4.0,90.0,92
2015-10-01,16RFV_nlcd31_00,16RFV,16R,31,2024,5.0,29.0,83
2015-10-01,16RFV_nlcd31_01,16RFV,16R,31,2024,4.0,91.0,83
2015-10-01,16RGU_nlcd31_00,16RGU,16R,31,2024,6.0,73.0,86
2015-10-01,16RGU_nlcd31_01,16RGU,16R,31,2024,5.0,80.0,88
2015-10-01,16RGV_nlcd31_00,16RGV,16R,31,2024,4.0,75.0,85
2015-10-01,16RGV_nlcd31_01,16RGV,16R,31,2024,5.0,36.0,89
2015-10-01,16RBU_nlcd41_00,16RBU,16R,41,2024,5.0,101.0,88
