date,point_id,mgrs,nlcd,count,et,eto
2015-11-01,12R_nlcd81_07,12R,81,6.0,44.0,86
2015-11-01,12R_nlcd82_07,12R,82,4.0,20.0,88
2015-11-01,12R_nlcd90_07,12R,90,5.0,57.0,90
2015-11-01,12R_nlcd31_06,12R,31,4.0,1.0,82
2015-11-01,12R_nlcd41_06,12R,41,6.0,64.0,86
2015-11-01,12R_nlcd42_06,12R,42,5.0,39.0,77
2015-11-01,12R_nlcd43_06,12R,43,4.0,44.0,78
2015-11-01,12R_nlcd52_06,12R,52,4.0,11.0,87
2015-11-01,12R_nlcd71_06,12R,71,5.0,23.0,96
2015-11-01,12R_nlcd81_06,12R,81,4.0,39.0,77
2015-11-01,12R_nlcd82_06,12R,82,5.0,17.0,89
2015-11-01,12R_nlcd90_06,12R,90,4.0,46.0,77
2015-11-01,12R_nlcd31_05,12R,31,5.0,44.0,82
2015-11-01,12R_nlcd41_05,12R,41,5.0,50.0,87
2015-11-01,12R_nlcd42_05,12R,42,5.0,33.0,75
2015-11-01,12R_nlcd43_05,12R,43,5.0,54.0,83
2015-11-01,12R_nlcd52_05,12R,52,5.0,20.0,99
2015-11-01,12R_nlcd71_05,12R,71,4.0,20.0,72
2015-11-01,12R_nlcd81_05,12R,81,4.0,42.0,82
2015-11-01,12R_nlcd82_05,12R,82,4.0,28.0,87
2015-11-01,12R_nlcd90_05,12R,90,5.0,47.0,90
2015-11-01,12R_nlcd31_04,12R,31,5.0,19.0,84
2015-11-01,12R_nlcd41_04,12R,41,5.0,67.0,85
2015-11-01,12R_nlcd42_04,12R,42,5.0,31.0,81
2015-11-01,12R_nlcd43_04,12R,43,4.0,52.0,79
2015-11-01,12R_nlcd52_04,12R,52,5.0,30.0,80
2015-11-01,12R_nlcd71_04,12R,71,4.0,51.0,93
2015-11-01,12R_nlcd81_04,12R,81,5.0,39.0,93
2015-11-01,12R_nlcd82_04,12R,82,5.0,24.0,87
2015-11-01,12R_nlcd90_04,12R,90,5.0,67.0,86
2015-11-01,12R_nlcd31_03,12R,31,5.0,31.0,84
2015-11-01,12R_nlcd41_03,12R,41,6.0,64.0,86
2015-11-01,12R_nlcd42_03,12R,42,5.0,43.0,78
2015-11-01,12R_nlcd43_03,12R,43,4.0,39.0,80
2015-11-01,12R_nlcd52_03,12R,52,5.0,23.0,84
2015-11-01,12R_nlcd71_03,12R,71,4.0,6.0,83
2015-11-01,12R_nlcd81_03,12R,81,5.0,50.0,86
2015-11-01,12R_nlcd82_03,12R,82,4.0,67.0,87
2015-11-01,12R_nlcd90_03,12R,90,5.0,34.0,81
2015-11-01,12R_nlcd31_02,12R,31,4.0,6.0,84
2015-11-01,12R_nlcd41_02,12R,41,4.0,80.0,85
2015-11-01,12R_nlcd42_02,12R,42,4.0,53.0,90
2015-11-01,12R_nlcd43_02,12R,43,5.0,50.0,91
2015-11-01,12R_nlcd52_02,12R,52,5.0,20.0,88
2015-11-01,12R_nlcd71_02,12R,71,6.0,36.0,96
2015-11-01,12R_nlcd81_02,12R,81,5.0,32.0,88
2015-11-01,12R_nlcd82_02,12R,82,5.0,17.0,89
2015-11-01,12R_nlcd90_02,12R,90,4.0,52.0,87
2015-11-01,12R_nlcd31_01,12R,31,5.0,39.0,81
2015-11-01,12R_nlcd41_01,12R,41,5.0,52.0,85
2015-11-01,12R_nlcd42_01,12R,42,5.0,35.0,92
2015-11-01,12R_nlcd43_01,12R,43,5.0,54.0,86
2015-11-01,12R_nlcd52_01,12R,52,5.0,28.0,84
2015-11-01,12R_nlcd71_01,12R,71,5.0,14.0,89
2015-11-01,12R_nlcd81_01,12R,81,4.0,41.0,93
2015-11-01,12R_nlcd82_01,12R,82,5.0,16.0,88
2015-11-01,12R_nlcd90_01,12R,90,5.0,28.0,92
2015-11-01,12R_nlcd31_00,12R,31,6.0,14.0,76
2015-11-01,12R_nlcd41_00,12R,41,6.0,55.0,86
2015-11-01,12R_nlcd42_00,12R,42,4.0,48.0,89
2015-11-01,12R_nlcd43_00,12R,43,4.0,30.0,77
2015-11-01,12R_nlcd52_00,12R,52,5.0,39.0,79
2015-11-01,12R_nlcd71_00,12R,71,6.0,12.0,89
2015-11-01,12R_nlcd81_00,12R,81,4.0,39.0,85
2015-11-01,12R_nlcd82_00,12R,82,4.0,7.0,89
2015-11-01,12R_nlcd90_00,12R,90,5.0,60.0,85
2015-12-01,12R_nlcd31_08,12R,31,5.0,8.0,66
2015-12-01,12R_nlcd41_08,12R,41,5.0,31.0,70
2015-12-01,12R_nlcd42_08,12R,42,5.0,25.0,65
2015-12-01,12R_nlcd43_08,12R,43,5.0,24.0,64
2015-12-01,12R_nlcd52_08,12R,52,5.0,18.0,70
2015-12-01,12R_nlcd71_08,12R,71,5.0,7.0,67
2015-12-01,12R_nlcd81_08,12R,81,4.0,35.0,63
2015-12-01,12R_nlcd82_08,12R,82,5.0,6.0,67
2015-12-01,12R_nlcd90_08,12R,90,5.0,41.0,63
2015-12-01,12R_nlcd31_07,12R,31,5.0,4.0,66
2015-12-01,12R_nlcd41_07,12R,41,5.0,21.0,66
2015-12-01,12R_nlcd42_07,12R,42,5.0,10.0,81
2015-12-01,12R_nlcd43_07,12R,43,4.0,23.0,62
2015-12-01,12R_nlcd52_07,12R,52,4.0,7.0,68
2015-12-01,12R_nlcd71_07,12R,71,5.0,18.0,58
2015-12-01,12R_nlcd81_07,12R,81,5.0,9.0,70
2015-12-01,12R_nlcd82_07,12R,82,4.0,6.0,77
2015-12-01,12R_nlcd90_07,12R,90,4.0,29.0,73
2015-12-01,12R_nlcd31_06,12R,31,5.0,4.0,66
2015-12-01,12R_nlcd41_06,12R,41,6.0,34.0,69
2015-12-01,12R_nlcd42_06,12R,42,5.0,33.0,63
2015-12-01,12R_nlcd43_06,12R,43,5.0,33.0,61
2015-12-01,12R_nlcd52_06,12R,52,4.0,8.0,68
2015-12-01,12R_nlcd71_06,12R,71,5.0,27.0,84
2015-12-01,12R_nlcd81_06,12R,81,5.0,22.0,63
2015-12-01,12R_nlcd82_06,12R,82,5.0,13.0,78
2015-12-01,12R_nlcd90_06,12R,90,5.0,30.0,63
2015-12-01,12R_nlcd31_05,12R,31,4.0,16.0,66
2015-12-01,12R_nlcd41_05,12R,41,5.0,28.0,70
2015-12-01,12R_nlcd42_05,12R,42,5.0,24.0,59
2015-12-01,12R_nlcd43_05,12R,43,5.0,30.0,66
2015-12-01,12R_nlcd52_05,12R,52,5.0,11.0,84
2015-12-01,12R_nlcd71_05,12R,71,4.0,18.0,58
2015-12-01,12R_nlcd81_05,12R,81,5.0,34.0,65
2015-12-01,12R_nlcd82_05,12R,82,5.0,20.0,67
2015-12-01,12R_nlcd90_05,12R,90,4.0,25.0,72
2015-12-01,12R_nlcd31_04,12R,31,4.0,10.0,68
2015-12-01,12R_nlcd41_04,12R,41,5.0,36.0,69
2015-12-01,12R_nlcd42_04,12R,42,4.0,11.0,66
2015-12-01,12R_nlcd43_04,12R,43,5.0,27.0,62
2015-12-01,12R_nlcd52_04,12R,52,5.0,26.0,71
2015-12-01,12R_nlcd71_04,12R,71,5.0,39.0,84
2015-12-01,12R_nlcd81_04,12R,81,5.0,24.0,81
2015-12-01,12R_nlcd82_04,12R,82,4.0,20.0,70
2015-12-01,12R_nlcd90_04,12R,90,4.0,35.0,70
2015-12-01,12R_nlcd31_03,12R,31,4.0,11.0,68
2015-12-01,12R_nlcd41_03,12R,41,6.0,34.0,69
2015-12-01,12R_nlcd42_03,12R,42,5.0,28.0,64
2015-12-01,12R_nlcd43_03,12R,43,4.0,27.0,66
2015-12-01,12R_nlcd52_03,12R,52,5.0,6.0,69
2015-12-01,12R_nlcd71_03,12R,71,4.0,8.0,74
2015-12-01,12R_nlcd81_03,12R,81,4.0,23.0,69
