date,point_id,mgrs_tile,mgrs_zone,nlcd,nlcd_year,count,et,eto
2015-10-01,18TTK_nlcd24_00,18TTK,18T,24,2024,6.0,29.0,51
2015-10-01,18TTL_nlcd24_00,18TTL,18T,24,2024,4.0,11.0,52
2015-10-01,18TTM_nlcd24_00,18TTM,18T,24,2024,4.0,5.0,53
2015-10-01,18TTN_nlcd24_00,18TTN,18T,24,2024,5.0,30.0,50
2015-10-01,18TUK_nlcd24_00,18TUK,18T,24,2024,4.0,8.0,48
2015-10-01,18TUK_nlcd24_01,18TUK,18T,24,2024,4.0,1.0,51
2015-10-01,18TUL_nlcd24_00,18TUL,18T,24,2024,4.0,6.0,53
2015-10-01,18TUL_nlcd24_01,18TUL,18T,24,2024,4.0,4.0,53
2015-10-01,18TUM_nlcd24_00,18TUM,18T,24,2024,4.0,6.0,53
2015-10-01,18TUM_nlcd24_01,18TUM,18T,24,2024,4.0,6.0,53
2015-10-01,18TUN_nlcd24_00,18TUN,18T,24,2024,4.0,9.0,52
2015-10-01,18TUN_nlcd24_01,18TUN,18T,24,2024,5.0,35.0,49
2015-10-01,18TVK_nlcd24_00,18TVK,18T,24,2024,4.0,8.0,55
2015-10-01,18TVK_nlcd24_01,18TVK,18T,24,2024,4.0,3.0,54
2015-10-01,18TVL_nlcd24_00,18TVL,18T,24,2024,4.0,13.0,54
2015-10-01,18TVL_nlcd24_01,18TVL,18T,24,2024,4.0,3.0,55
2015-10-01,18TVM_nlcd24_00,18TVM,18T,24,2024,6.0,19.0,52
2015-10-01,18TVM_nlcd24_01,18TVM,18T,24,2024,4.0,4.0,51
2015-10-01,18TVN_nlcd24_00,18TVN,18T,24,2024,4.0,10.0,51
2015-10-01,18TVN_nlcd24_01,18TVN,18T,24,2024,4.0,4.0,48
2015-10-01,18TVP_nlcd24_00,18TVP,18T,24,2024,5.0,31.0,50
2015-10-01,18TVP_nlcd24_01,18TVP,18T,24,2024,4.0,5.0,50
2015-10-01,18TVQ_nlcd24_00,18TVQ,18T,24,2024,4.0,13.0,42
2015-10-01,18TVQ_nlcd24_01,18TVQ,18T,24,2024,4.0,19.0,42
2015-10-01,18TWK_nlcd24_00,18TWK,18T,24,2024,4.0,7.0,52
2015-10-01,18TWK_nlcd24_01,18TWK,18T,24,2024,5.0,28.0,54
2015-10-01,18TWL_nlcd24_00,18TWL,18T,24,2024,5.0,20.0,66
2015-10-01,18TWL_nlcd24_01,18TWL,18T,24,2024,4.0,19.0,63
2015-10-01,18TWM_nlcd24_00,18TWM,18T,24,2024,4.0,4.0,56
2015-10-01,18TWM_nlcd24_01,18TWM,18T,24,2024,,,56
2015-10-01,18TWN_nlcd24_00,18TWN,18T,24,2024,4.0,17.0,47
2015-10-01,18TWN_nlcd24_01,18TWN,18T,24,2024,6.0,17.0,44
2015-10-01,18TWP_nlcd24_00,18TWP,18T,24,2024,4.0,7.0,40
2015-10-01,18TWP_nlcd24_01,18TWP,18T,24,2024,4.0,7.0,40
2015-10-01,18TWQ_nlcd24_00,18TWQ,18T,24,2024,4.0,6.0,44
2015-10-01,18TWQ_nlcd24_01,18TWQ,18T,24,2024,4.0,6.0,43
2015-10-01,18TXL_nlcd24_00,18TXL,18T,24,2024,4.0,19.0,65
2015-10-01,18TXL_nlcd24_01,18TXL,18T,24,2024,4.0,19.0,60
2015-10-01,18TXM_nlcd24_00,18TXM,18T,24,2024,4.0,3.0,58
2015-10-01,18TXM_nlcd24_01,18TXM,18T,24,2024,4.0,14.0,58
2015-10-01,18TXN_nlcd24_00,18TXN,18T,24,2024,4.0,14.0,48
2015-10-01,18TXN_nlcd24_01,18TXN,18T,24,2024,4.0,10.0,46
2015-10-01,18TXP_nlcd24_00,18TXP,18T,24,2024,4.0,2.0,46
2015-10-01,18TXP_nlcd24_01,18TXP,18T,24,2024,5.0,41.0,46
2015-10-01,18TXQ_nlcd24_00,18TXQ,18T,24,2024,4.0,26.0,49
2015-10-01,18TXQ_nlcd24_01,18TXQ,18T,24,2024,5.0,16.0,49
2015-10-01,18TYL_nlcd24_00,18TYL,18T,24,2024,4.0,1.0,54
2015-10-01,18TYM_nlcd24_00,18TYM,18T,24,2024,4.0,22.0,59
2015-10-01,18TYN_nlcd24_00,18TYN,18T,24,2024,4.0,4.0,55
2015-10-01,18TYP_nlcd24_00,18TYP,18T,24,2024,5.0,13.0,44
2015-10-01,18TYQ_nlcd24_00,18TYQ,18T,24,2024,5.0,15.0,36
2015-10-01,18TTK_nlcd31_00,18TTK,18T,31,2024,6.0,19.0,50
2015-10-01,18TTL_nlcd31_00,18TTL,18T,31,2024,4.0,43.0,53
2015-10-01,18TTM_nlcd31_00,18TTM,18T,31,2024,5.0,32.0,51
2015-10-01,18TTN_nlcd31_00,18TTN,18T,31,2024,5.0,25.0,49
2015-10-01,18TUK_nlcd31_00,18TUK,18T,31,2024,4.0,23.0,47
2015-10-01,18TUK_nlcd31_01,18TUK,18T,31,2024,4.0,36.0,51
2015-10-01,18TUL_nlcd31_00,18TUL,18T,31,2024,6.0,43.0,50
2015-10-01,18TUL_nlcd31_01,18TUL,18T,31,2024,5.0,20.0,51
2015-10-01,18TUM_nlcd31_00,18TUM,18T,31,2024,5.0,38.0,49
2015-10-01,18TUM_nlcd31_01,18TUM,18T,31,2024,5.0,41.0,49
2015-10-01,18TUN_nlcd31_00,18TUN,18T,31,2024,6.0,35.0,53
2015-10-01,18TUN_nlcd31_01,18TUN,18T,31,2024,5.0,25.0,49
2015-10-01,18TVK_nlcd31_00,18TVK,18T,31,2024,3.0,57.0,51
2015-10-01,18TVK_nlcd31_01,18TVK,18T,31,2024,5.0,21.0,54
2015-10-01,18TVL_nlcd31_00,18TVL,18T,31,2024,5.0,19.0,51
2015-10-01,18TVL_nlcd31_01,18TVL,18T,31,2024,5.0,12.0,52
2015-10-01,18TVM_nlcd31_00,18TVM,18T,31,2024,4.0,27.0,51
2015-10-01,18TVM_nlcd31_01,18TVM,18T,31,2024,5.0,19.0,54
2015-10-01,18TVN_nlcd31_00,18TVN,18T,31,2024,5.0,23.0,52
2015-10-01,18TVN_nlcd31_01,18TVN,18T,31,2024,4.0,41.0,43
2015-10-01,18TVP_nlcd31_00,18TVP,18T,31,2024,4.0,31.0,51
2015-10-01,18TVP_nlcd31_01,18TVP,18T,31,2024,5.0,22.0,47
2015-10-01,18TVQ_nlcd31_00,18TVQ,18T,31,2024,5.0,19.0,44
2015-10-01,18TVQ_nlcd31_01,18TVQ,18T,31,2024,5.0,30.0,46
2015-10-01,18TWK_nlcd31_00,18TWK,18T,31,2024,3.0,23.0,55
2015-10-01,18TWK_nlcd31_01,18TWK,18T,31,2024,4.0,35.0,67
2015-10-01,18TWL_nlcd31_00,18TWL,18T,31,2024,5.0,38.0,63
2015-10-01,18TWL_nlcd31_01,18TWL,18T,31,2024,5.0,28.0,58
2015-10-01,18TWM_nlcd31_00,18TWM,18T,31,2024,4.0,7.0,57
2015-10-01,18TWM_nlcd31_01,18TWM,18T,31,2024,4.0,24.0,59
2015-10-01,18TWN_nlcd31_00,18TWN,18T,31,2024,4.0,42.0,51
2015-10-01,18TWN_nlcd31_01,18TWN,18T,31,2024,4.0,14.0,46
2015-10-01,18TWP_nlcd31_00,18TWP,18T,31,2024,5.0,17.0,44
2015-10-01,18TWP_nlcd31_01,18TWP,18T,31,2024,5.0,37.0,49
2015-10-01,18TWQ_nlcd31_00,18TWQ,18T,31,2024,5.0,18.0,45
