date,point_id,mgrs_tile,mgrs_zone,nlcd,nlcd_year,count,et,eto
2015-10-01,17TKE_nlcd24_00,17TKE,17T,24,2024,6.0,22.0,65
2015-10-01,17TKF_nlcd24_00,17TKF,17T,24,2024,5.0,19.0,71
2015-10-01,17TKG_nlcd24_00,17TKG,17T,24,2024,4.0,14.0,66
2015-10-01,17TKH_nlcd24_00,17TKH,17T,24,2024,5.0,20.0,63
2015-10-01,17TKK_nlcd24_00,17TKK,17T,24,2024,4.0,10.0,54
2015-10-01,17TLE_nlcd24_00,17TLE,17T,24,2024,,,72
2015-10-01,17TLE_nlcd24_01,17TLE,17T,24,2024,,,72
2015-10-01,17TLF_nlcd24_00,17TLF,17T,24,2024,5.0,45.0,67
2015-10-01,17TLF_nlcd24_01,17TLF,17T,24,2024,4.0,10.0,71
2015-10-01,17TLH_nlcd24_00,17TLH,17T,24,2024,5.0,16.0,65
2015-10-01,17TLH_nlcd24_01,17TLH,17T,24,2024,5.0,24.0,65
2015-10-01,17TLJ_nlcd24_00,17TLJ,17T,24,2024,4.0,9.0,47
2015-10-01,17TLJ_nlcd24_01,17TLJ,17T,24,2024,,,46
2015-10-01,17TME_nlcd24_00,17TME,17T,24,2024,4.0,38.0,59
2015-10-01,17TME_nlcd24_01,17TME,17T,24,2024,4.0,2.0,63
2015-10-01,17TMF_nlcd24_00,17TMF,17T,24,2024,4.0,3.0,59
2015-10-01,17TMF_nlcd24_01,17TMF,17T,24,2024,4.0,14.0,59
2015-10-01,17TNE_nlcd24_00,17TNE,17T,24,2024,4.0,6.0,64
2015-10-01,17TNE_nlcd24_01,17TNE,17T,24,2024,4.0,9.0,60
2015-10-01,17TNF_nlcd24_00,17TNF,17T,24,2024,4.0,2.0,55
2015-10-01,17TNF_nlcd24_01,17TNF,17T,24,2024,4.0,7.0,58
2015-10-01,17TNG_nlcd24_00,17TNG,17T,24,2024,4.0,20.0,53
2015-10-01,17TNG_nlcd24_01,17TNG,17T,24,2024,4.0,3.0,52
2015-10-01,17TPE_nlcd24_00,17TPE,17T,24,2024,5.0,30.0,52
2015-10-01,17TPE_nlcd24_01,17TPE,17T,24,2024,5.0,26.0,53
2015-10-01,17TPF_nlcd24_00,17TPF,17T,24,2024,4.0,2.0,52
2015-10-01,17TPF_nlcd24_01,17TPF,17T,24,2024,5.0,34.0,57
2015-10-01,17TPG_nlcd24_00,17TPG,17T,24,2024,4.0,1.0,55
2015-10-01,17TPG_nlcd24_01,17TPG,17T,24,2024,4.0,3.0,55
2015-10-01,17TQE_nlcd24_00,17TQE,17T,24,2024,4.0,8.0,49
2015-10-01,17TQF_nlcd24_00,17TQF,17T,24,2024,4.0,5.0,51
2015-10-01,17TQG_nlcd24_00,17TQG,17T,24,2024,4.0,7.0,52
