date,point_id,mgrs_tile,mgrs_zone,nlcd,nlcd_year,count,et,eto
2015-10-01,14ULU_nlcd24_00,14ULU,14U,24,2024,4.0,11.0,58
2015-10-01,14ULU_nlcd24_01,14ULU,14U,24,2024,4.0,30.0,58
2015-10-01,14UMU_nlcd24_00,14UMU,14U,24,2024,4.0,62.0,58
2015-10-01,14UMU_nlcd24_01,14UMU,14U,24,2024,,,54
2015-10-01,14UNU_nlcd24_00,14UNU,14U,24,2024,4.0,11.0,61
2015-10-01,14UNU_nlcd24_01,14UNU,14U,24,2024,5.0,16.0,57
2015-10-01,14UPU_nlcd24_00,14UPU,14U,24,2024,4.0,23.0,60
2015-10-01,14UPU_nlcd24_01,14UPU,14U,24,2024,4.0,4.0,60
2015-10-01,14ULU_nlcd31_00,14ULU,14U,31,2024,5.0,12.0,58
2015-10-01,14ULU_nlcd31_01,14ULU,14U,31,2024,6.0,26.0,59
2015-10-01,14UMU_nlcd31_00,14UMU,14U,31,2024,6.0,30.0,55
2015-10-01,14UMU_nlcd31_01,14UMU,14U,31,2024,5.0,34.0,55
2015-10-01,14UNU_nlcd31_00,14UNU,14U,31,2024,5.0,32.0,62
2015-10-01,14UNU_nlcd31_01,14UNU,14U,31,2024,5.0,29.0,62
2015-10-01,14UPU_nlcd31_00,14UPU,14U,31,2024,4.0,36.0,54
2015-10-01,14UPU_nlcd31_01,14UPU,14U,31,2024,5.0,35.0,54
2015-10-01,14ULU_nlcd41_00,14ULU,14U,41,2024,5.0,27.0,59
2015-10-01,14ULU_nlcd41_01,14ULU,14U,41,2024,5.0,20.0,55
2015-10-01,14UMU_nlcd41_00,14UMU,14U,41,2024,5.0,24.0,56
2015-10-01,14UMU_nlcd41_01,14UMU,14U,41,2024,6.0,28.0,52
2015-10-01,14UNU_nlcd41_00,14UNU,14U,41,2024,5.0,23.0,52
2015-10-01,14UNU_nlcd41_01,14UNU,14U,41,2024,5.0,36.0,52
2015-10-01,14UPU_nlcd41_00,14UPU,14U,41,2024,5.0,34.0,51
2015-10-01,14UPU_nlcd41_01,14UPU,14U,41,2024,5.0,29.0,57
2015-10-01,14ULU_nlcd42_00,14ULU,14U,42,2024,4.0,35.0,56
2015-10-01,14ULU_nlcd42_01,14ULU,14U,42,2024,5.0,44.0,57
2015-10-01,14UMU_nlcd42_00,14UMU,14U,42,2024,6.0,42.0,56
2015-10-01,14UMU_nlcd42_01,14UMU,14U,42,2024,5.0,28.0,53
2015-10-01,14UNU_nlcd42_00,14UNU,14U,42,2024,5.0,40.0,52
2015-10-01,14UNU_nlcd42_01,14UNU,14U,42,2024,4.0,30.0,60
2015-10-01,14UPU_nlcd42_00,14UPU,14U,42,2024,5.0,40.0,57
2015-10-01,14UPU_nlcd42_01,14UPU,14U,42,2024,4.0,45.0,54
2015-10-01,14ULU_nlcd43_00,14ULU,14U,43,2024,6.0,34.0,55
2015-10-01,14ULU_nlcd43_01,14ULU,14U,43,2024,4.0,37.0,55
2015-10-01,14UMU_nlcd43_00,14UMU,14U,43,2024,5.0,31.0,52
2015-10-01,14UMU_nlcd43_01,14UMU,14U,43,2024,6.0,33.0,52
2015-10-01,14UNU_nlcd43_00,14UNU,14U,43,2024,5.0,46.0,62
2015-10-01,14UNU_nlcd43_01,14UNU,14U,43,2024,4.0,26.0,52
2015-10-01,14UPU_nlcd43_00,14UPU,14U,43,2024,4.0,50.0,56
2015-10-01,14UPU_nlcd43_01,14UPU,14U,43,2024,5.0,34.0,49
2015-10-01,14ULU_nlcd52_00,14ULU,14U,52,2024,5.0,17.0,56
2015-10-01,14ULU_nlcd52_01,14ULU,14U,52,2024,5.0,19.0,56
2015-10-01,14UMU_nlcd52_00,14UMU,14U,52,2024,4.0,47.0,60
2015-10-01,14UMU_nlcd52_01,14UMU,14U,52,2024,4.0,32.0,56
2015-10-01,14UNU_nlcd52_00,14UNU,14U,52,2024,4.0,33.0,58
2015-10-01,14UNU_nlcd52_01,14UNU,14U,52,2024,5.0,35.0,52
2015-10-01,14UPU_nlcd52_00,14UPU,14U,52,2024,5.0,31.0,54
2015-10-01,14UPU_nlcd52_01,14UPU,14U,52,2024,5.0,30.0,51
2015-10-01,14ULU_nlcd71_00,14ULU,14U,71,2024,4.0,25.0,55
2015-10-01,14ULU_nlcd71_01,14ULU,14U,71,2024,6.0,33.0,58
2015-10-01,14UMU_nlcd71_00,14UMU,14U,71,2024,6.0,33.0,52
2015-10-01,14UMU_nlcd71_01,14UMU,14U,71,2024,6.0,32.0,57
2015-10-01,14UNU_nlcd71_00,14UNU,14U,71,2024,6.0,24.0,64
2015-10-01,14UNU_nlcd71_01,14UNU,14U,71,2024,4.0,31.0,63
2015-10-01,14UPU_nlcd71_00,14UPU,14U,71,2024,5.0,41.0,61
2015-10-01,14UPU_nlcd71_01,14UPU,14U,71,2024,5.0,33.0,52
2015-10-01,14ULU_nlcd81_00,14ULU,14U,81,2024,6.0,33.0,59
2015-10-01,14ULU_nlcd81_01,14ULU,14U,81,2024,5.0,29.0,59
2015-10-01,14UMU_nlcd81_00,14UMU,14U,81,2024,6.0,24.0,59
2015-10-01,14UMU_nlcd81_01,14UMU,14U,81,2024,6.0,37.0,56
2015-10-01,14UNU_nlcd81_00,14UNU,14U,81,2024,6.0,38.0,59
2015-10-01,14UNU_nlcd81_01,14UNU,14U,81,2024,6.0,30.0,53
2015-10-01,14UPU_nlcd81_00,14UPU,14U,81,2024,6.0,33.0,57
2015-10-01,14UPU_nlcd81_01,14UPU,14U,81,2024,6.0,34.0,50
2015-10-01,14ULU_nlcd82_00,14ULU,14U,82,2024,6.0,31.0,56
2015-10-01,14ULU_nlcd82_01,14ULU,14U,82,2024,6.0,22.0,57
