latitude,longitude,mgrs_tile,nlcd,nlcd_year
36.821059897847014,-107.99632001704778,13SBA,24,2024
36.889342410640324,-107.99635630632086,13SBA,31,2024
36.99342301852202,-107.2959338133341,13SBA,41,2024
36.61075166990479,-107.25315801016258,13SBA,42,2024
36.56493504574459,-107.7680606847546,13SBA,52,2024
36.82952349068241,-107.25812139954778,13SBA,71,2024
36.879295668141076,-107.95912310212256,13SBA,81,2024
36.56741270114083,-107.99009489140428,13SBA,82,2024
37.01154434781312,-107.30108414164027,13SBA,90,2024
36.70760734302521,-107.97023577410162,13SBA,95,2024
37.14624097811225,-107.78632286206381,13SBB,24,2024
37.597941677695474,-107.57262548000666,13SBB,31,2024
37.26712495171841,-107.26677916892645,13SBB,41,2024
37.127754887354406,-107.6016946161076,13SBB,42,2024
37.31272722861873,-107.41275594832776,13SBB,43,2024
37.14570421438475,-107.86595509710587,13SBB,52,2024
37.5889451794991,-107.8746659963872,13SBB,71,2024
37.176691349449975,-107.65917577669951,13SBB,81,2024
37.24549046837566,-107.77285699771139,13SBB,82,2024
37.759571500858776,-107.32272457078825,13SBB,90,2024
37.816026783506814,-107.30992839257003,13SBB,95,2024
38.52668521378125,-107.92985620022463,13SBC,24,2024
38.01845360085009,-107.75193146212358,13SBC,31,2024
37.93307358071641,-107.91989439122979,13SBC,41,2024
38.338723659214914,-107.39991727742724,13SBC,42,2024
38.72629423766378,-107.33967366103484,13SBC,43,2024
38.17153276451576,-107.9615181108176,13SBC,52,2024
38.12928000139346,-107.44284734592786,13SBC,71,2024
38.732932117508525,-107.73201507967121,13SBC,81,2024
38.496960597448464,-107.99674164097468,13SBC,82,2024
38.69117644124774,-107.48288878371022,13SBC,90,2024
38.25945626074781,-107.42312162604696,13SBC,95,2024
39.52324814697898,-107.7630947761313,13SBD,24,2024
39.020431671531014,-107.63801819347309,13SBD,31,2024
39.44882081021498,-107.35396478719841,13SBD,41,2024
39.722374460845316,-107.49653453043042,13SBD,42,2024
39.43586098264269,-107.36006881808007,13SBD,43,2024
39.56724786080548,-107.63075528288219,13SBD,52,2024
39.210294738988544,-107.36201415895653,13SBD,71,2024
39.57112671002153,-107.71021187379642,13SBD,81,2024
38.8410211955497,-107.80047597314802,13SBD,82,2024
39.10800448921651,-107.68457806958624,13SBD,90,2024
39.225796068910526,-107.77362952176398,13SBD,95,2024
32.24579875626693,-107.71713873730337,13SBR,24,2024
32.26912884394296,-107.75863650818897,13SBR,24,2024
32.164853831497496,-107.40218690918462,13SBR,31,2024
31.878156046842346,-107.44246727667341,13SBR,31,2024
32.1173453178947,-107.6274292080235,13SBR,42,2024
32.508743054257316,-107.16712106030403,13SBR,42,2024
32.33258530417296,-107.34656176675199,13SBR,52,2024
31.965192036812233,-107.58792326544983,13SBR,52,2024
31.881495929312923,-107.57611241494737,13SBR,71,2024
31.857125279804556,-107.45710063032249,13SBR,71,2024
32.25987267961463,-107.62859810075453,13SBR,81,2024
32.16757420005421,-107.75974257992544,13SBR,81,2024
32.27862448079452,-107.82327025104571,13SBR,82,2024
32.12710750823632,-107.71352315153898,13SBR,82,2024
32.4627327307791,-107.64897024383362,13SBR,90,2024
