latitude,longitude,mgrs_tile,nlcd,nlcd_year
39.85149495186786,-77.66594660358392,18TTK,24,2024
40.12313998671765,-77.37692566537774,18TTK,31,2024
40.390766482826514,-77.77338995787844,18TTK,41,2024
40.444316635180954,-77.65268884120768,18TTK,42,2024
40.270643945909235,-77.73732117742925,18TTK,43,2024
39.958419482623654,-77.50578813665446,18TTK,52,2024
40.318018695607,-77.89771629439474,18TTK,71,2024
39.89114514065692,-77.72206550493941,18TTK,81,2024
40.30122493896269,-77.85343530353748,18TTK,82,2024
39.8862712581528,-77.70565046780325,18TTK,90,2024
40.23742809553628,-77.35984329480956,18TTK,95,2024
40.81569519819481,-77.9025327583455,18TTL,24,2024
41.041467685945165,-77.871202282503,18TTL,31,2024
40.65051127997452,-77.59045550576606,18TTL,41,2024
40.91395133751335,-77.61668437152424,18TTL,42,2024
41.135098411626394,-77.89421958919509,18TTL,43,2024
40.98635884600282,-77.93965731334681,18TTL,52,2024
41.1496062159094,-77.51788596416074,18TTL,71,2024
41.16189072891802,-77.40260077534946,18TTL,81,2024
40.92598555345662,-77.7518432109379,18TTL,82,2024
40.66215384376538,-77.801035387128,18TTL,90,2024
41.29344076119974,-77.84130944812132,18TTL,95,2024
42.329549838140586,-77.66816828561075,18TTM,24,2024
41.61901203835813,-77.74906202261381,18TTM,31,2024
41.617840442598485,-77.5971213186413,18TTM,41,2024
41.57426620851557,-77.44982599902406,18TTM,42,2024
41.64252014213224,-77.64306980026481,18TTM,43,2024
42.051152067247365,-77.72615536313542,18TTM,52,2024
41.76363527860273,-77.95303890366516,18TTM,71,2024
41.98845709346939,-77.48267010546624,18TTM,81,2024
42.285723985664674,-77.61605124388639,18TTM,82,2024
42.29318270555316,-77.46103383439868,18TTM,90,2024
41.953516765308024,-77.43037601787651,18TTM,95,2024
43.06623361582031,-77.64208993118801,18TTN,24,2024
42.488065767706686,-77.50378383401531,18TTN,31,2024
42.58652517324082,-77.45432020373794,18TTN,41,2024
42.49300750075386,-77.63157657312935,18TTN,42,2024
42.736847651424256,-77.60584821758894,18TTN,43,2024
42.49679011578534,-77.61596734241739,18TTN,52,2024
43.140243153118604,-77.89175044868145,18TTN,71,2024
42.475396785040836,-77.9003567840864,18TTN,81,2024
42.85057931494233,-77.88960243805644,18TTN,82,2024
42.42919790798972,-77.92935052313751,18TTN,90,2024
43.10240597047268,-77.71009581840056,18TTN,95,2024
40.303655326652326,-76.89529062245909,18TUK,24,2024
39.98759247140214,-76.71753325468661,18TUK,24,2024
40.47172834339642,-77.13438912858709,18TUK,31,2024
39.93443556553777,-76.78009043350576,18TUK,31,2024
39.87414845249421,-77.06836808994659,18TUK,41,2024
40.585812095760154,-76.6769648388863,18TUK,41,2024
39.88715682545716,-76.60643161236351,18TUK,42,2024
40.53911979802126,-76.55046696201033,18TUK,42,2024
40.113492652356044,-77.20205070274159,18TUK,43,2024
40.52009318751719,-76.44958978596387,18TUK,43,2024
40.44612588553076,-76.46468266422876,18TUK,52,2024
40.002495016917706,-76.1752908254705,18TUK,52,2024
