latitude,longitude,mgrs_tile,nlcd,nlcd_year
32.46973132275146,-113.63122600907239,12STA,31,2024
32.51528516431998,-113.20060093058227,12STA,31,2024
32.393712127636334,-113.89121694030526,12STA,52,2024
32.174867388712556,-113.19061683667819,12STA,52,2024
32.12342236220841,-113.14437364755815,12STA,71,2024
32.24679092378097,-113.12493504546545,12STA,71,2024
32.08849409547107,-113.43847693747345,12STA,82,2024
32.08214139354558,-113.43707848810847,12STA,82,2024
32.81100960948646,-113.7824266356212,12STB,24,2024
32.810339101549786,-113.76587536410788,12STB,24,2024
32.629729920043076,-113.51304774333326,12STB,31,2024
33.011337348420696,-113.37111156386419,12STB,31,2024
33.12355726032713,-113.40924406903216,12STB,42,2024
33.11743017262454,-113.40820668183217,12STB,42,2024
33.37862855643917,-113.48151800541437,12STB,52,2024
32.552799243179145,-113.89830204136568,12STB,52,2024
32.71927796164773,-113.48260072300175,12STB,71,2024
32.736383054117645,-113.34560942050761,12STB,71,2024
32.77700494119324,-113.96719611633849,12STB,81,2024
33.08516836224511,-113.39049146337298,12STB,81,2024
32.759628021054105,-113.95600025083151,12STB,82,2024
32.80562502295921,-113.81301875058371,12STB,82,2024
32.749256415814315,-113.90772873581052,12STB,90,2024
32.969874654566965,-113.31002371923118,12STB,90,2024
33.00142733949111,-113.24671779713523,12STB,95,2024
32.91730889727344,-113.44542024468876,12STB,95,2024
33.73537887777656,-113.76482252829406,12STC,24,2024
33.64251260102056,-113.76970569475439,12STC,24,2024
34.299245871644885,-113.35364552095375,12STC,31,2024
33.851730944696676,-113.95746395859713,12STC,31,2024
34.3016159076418,-113.47677383406044,12STC,41,2024
34.30082447037087,-113.47659364991314,12STC,41,2024
33.48789572275917,-113.70949804327878,12STC,42,2024
34.298395942026865,-113.54452879713163,12STC,42,2024
34.30202692615992,-113.47586516701897,12STC,43,2024
34.29104696725077,-113.39888211976084,12STC,43,2024
34.3079294654587,-113.34491964793425,12STC,52,2024
33.52686526768786,-113.56221452494479,12STC,52,2024
34.055126241668006,-113.93623610720743,12STC,71,2024
34.053428669268996,-113.94184037841268,12STC,71,2024
33.96593358535009,-113.76701538483768,12STC,81,2024
33.85943659657141,-113.90838556828648,12STC,81,2024
33.638703057695274,-113.72574586707017,12STC,82,2024
33.96190769975071,-113.21258569212597,12STC,82,2024
33.96697660126275,-113.28221122340925,12STC,90,2024
34.292295817640394,-113.37979410977442,12STC,90,2024
33.59484073005591,-113.38459919753957,12STC,95,2024
34.29486830128573,-113.54439074086933,12STC,95,2024
34.589351447959835,-113.24013064950994,12STD,24,2024
34.583256099239236,-113.19686574524528,12STD,31,2024
35.06884017337484,-113.89773110133082,12STD,41,2024
34.87514909997898,-113.91112466479402,12STD,42,2024
34.69449806392126,-113.59592329321904,12STD,43,2024
34.37420804915871,-113.35957345151506,12STD,52,2024
34.89484096058216,-113.35472105686917,12STD,71,2024
35.14973063614492,-113.32758475051008,12STD,81,2024
34.67198901276792,-113.58603538097836,12STD,82,2024
