latitude,longitude,mgrs_tile,nlcd,nlcd_year
39.955256996718965,-119.6033778066587,11TKE,24,2024
40.144364248445676,-119.69193590402176,11TKE,31,2024
40.03128897311945,-119.75115899534492,11TKE,41,2024
40.17744634259033,-119.4578448101199,11TKE,42,2024
40.60793792227566,-119.77942165445604,11TKE,52,2024
39.926056305917484,-119.77666853234614,11TKE,71,2024
39.85167497326275,-119.43876773591057,11TKE,81,2024
40.60717804838315,-119.75739018060827,11TKE,82,2024
40.449191858955636,-119.83879407698227,11TKE,90,2024
39.92028320475638,-119.77508272458766,11TKE,95,2024
40.65084739693457,-119.48548560148231,11TKF,24,2024
40.67566701874234,-119.36985303187767,11TKF,31,2024
40.848290645771065,-119.43454389013749,11TKF,41,2024
41.35976248603976,-119.89911398147292,11TKF,42,2024
41.24269240467679,-119.90071407354719,11TKF,52,2024
41.22270410399468,-119.68124286851624,11TKF,71,2024
41.07689314800632,-119.90257924059107,11TKF,81,2024
41.09082368898474,-119.89772491634827,11TKF,82,2024
41.408282160580676,-119.8797185105563,11TKF,90,2024
40.72431478584304,-119.52652065536398,11TKF,95,2024
42.01438649418383,-119.47629544196727,11TKG,24,2024
41.66394588866491,-119.82882068086637,11TKG,31,2024
42.39450353414451,-119.76404198192988,11TKG,41,2024
41.80935580626628,-119.93792226753033,11TKG,42,2024
42.05913177592914,-119.95983530425367,11TKG,52,2024
42.15773832496967,-119.7597433838276,11TKG,71,2024
42.180490993232716,-119.84502823808484,11TKG,81,2024
42.37621154901576,-119.90299435599005,11TKG,82,2024
41.83667183221402,-119.49353633929675,11TKG,90,2024
42.14311794962835,-119.82141686753242,11TKG,95,2024
43.08670866612654,-119.97517558584538,11TKH,24,2024
42.55757987533166,-119.87992340065432,11TKH,31,2024
42.51959116453342,-119.76455587872512,11TKH,41,2024
42.480347731686464,-119.7076416332987,11TKH,42,2024
42.99347606071486,-119.77900327107197,11TKH,52,2024
43.22991744003804,-119.7537063529429,11TKH,71,2024
42.49807559479081,-119.82337790527014,11TKH,81,2024
42.489048613352665,-119.89224765502428,11TKH,82,2024
42.48307373336531,-119.83100918282793,11TKH,90,2024
42.45610843090616,-119.8655165844942,11TKH,95,2024
44.132071590084735,-119.96688270758617,11TKJ,24,2024
43.52206742059401,-119.55482404624146,11TKJ,31,2024
43.874409244810664,-119.51443363596732,11TKJ,42,2024
43.714845484164194,-119.89197601780853,11TKJ,52,2024
43.84163190386145,-119.89247525304326,11TKJ,71,2024
44.18584228217152,-119.82846970398303,11TKJ,81,2024
43.54672031596179,-119.51539800168645,11TKJ,82,2024
43.4316994089088,-119.5941927255277,11TKJ,90,2024
43.814357703980114,-119.8657169918599,11TKJ,95,2024
44.82672675646205,-119.7757058896916,11TKK,24,2024
44.508967701033185,-119.63908649132941,11TKK,31,2024
44.35921709902569,-119.9725677216913,11TKK,42,2024
44.761493498807454,-119.63352138410869,11TKK,43,2024
44.65196524816565,-119.58579135090424,11TKK,52,2024
44.9434886483287,-119.53817925468428,11TKK,71,2024
44.662105797450664,-119.65745912164896,11TKK,81,2024
44.49003656526314,-119.77865706318929,11TKK,82,2024
44.9875686067922,-119.75083587522269,11TKK,90,2024
44.60967238385807,-119.88188185057898,11TKK,95,2024
45.83695068063793,-119.69367986021614,11TKL,24,2024
45.685553643580306,-119.59546827947555,11TKL,31,2024
45.89917300219938,-119.63543842943822,11TKL,41,2024
45.130172505569675,-119.54398623961865,11TKL,42,2024
45.93467913490418,-119.6160435652563,11TKL,52,2024
45.387517093084796,-119.91331438834791,11TKL,71,2024
45.8156510778217,-119.75518867745141,11TKL,81,2024
45.38113047833581,-119.89318097357781,11TKL,82,2024
45.45806489502739,-119.71813778201674,11TKL,90,2024
45.836706292994876,-119.70911680020687,11TKL,95,2024
46.22154376494144,-119.73014457199685,11TKM,24,2024
46.80373409067505,-119.91784080556332,11TKM,31,2024
46.650920470489325,-119.69631957204757,11TKM,41,2024
46.241505710314506,-119.65854629428377,11TKM,42,2024
46.73298554759548,-119.98202947051813,11TKM,52,2024
46.60899835011916,-119.96376642481982,11TKM,71,2024
46.20305984123184,-119.84950657805379,11TKM,81,2024
46.69209773750133,-119.89135952283101,11TKM,82,2024
46.83960647706643,-119.89073412773791,11TKM,90,2024
46.86723087867613,-119.78854102424476,11TKM,95,2024
47.80890217807484,-119.9844954696717,11TKN,24,2024
47.052897329563905,-119.96934391053904,11TKN,31,2024
47.81269680783833,-119.97730486475348,11TKN,41,2024
47.775742940093345,-119.97035618735691,11TKN,42,2024
