latitude,longitude,mgrs_tile,nlcd,nlcd_year
40.61167732518702,-113.86149596268814,12TTK,24,2024
40.468192518299254,-113.73942626354406,12TTK,31,2024
39.73233181831146,-113.97850497455089,12TTK,41,2024
39.774727606666914,-113.91725940489917,12TTK,42,2024
39.738759641636406,-113.97365524134898,12TTK,43,2024
39.786423270372566,-113.63421307224118,12TTK,52,2024
40.072592793409434,-113.94598623302755,12TTK,71,2024
40.14309895445646,-113.98447831628383,12TTK,81,2024
39.876277082512836,-113.6957628850472,12TTK,82,2024
39.921622470130416,-113.69300809759827,12TTK,90,2024
39.88655687644143,-113.40521836764457,12TTK,95,2024
40.733973540843856,-113.63087142185277,12TTL,24,2024
40.831261040296525,-113.74145492301432,12TTL,31,2024
41.26226519018822,-113.9987985629127,12TTL,42,2024
40.875716435800655,-113.90686265563984,12TTL,52,2024
41.240701083275994,-113.98735691740758,12TTL,71,2024
41.392311071009296,-113.9746350178196,12TTL,81,2024
41.39120584220014,-113.95741807485643,12TTL,82,2024
41.29532922251718,-113.69680553350508,12TTL,90,2024
41.310729211659016,-113.68417946982125,12TTL,95,2024
42.36262941838538,-113.94341109521025,12TTM,24,2024
41.56640352497375,-113.47640549331793,12TTM,31,2024
42.16953230487323,-113.71603081571088,12TTM,41,2024
42.156361787203984,-113.74016963710069,12TTM,42,2024
41.81781179612888,-113.55391114923329,12TTM,52,2024
42.40180917622875,-113.73225540748516,12TTM,71,2024
42.09023482785967,-113.62024933267377,12TTM,81,2024
42.33369785944382,-113.86498781028902,12TTM,82,2024
42.274442584037196,-113.51879143456404,12TTM,90,2024
41.96016303180363,-113.54631055681799,12TTM,95,2024
42.5965864361066,-113.78527692081352,12TTN,24,2024
43.27906306512046,-113.65065717627006,12TTN,31,2024
42.4294710161929,-113.54675350997886,12TTN,41,2024
42.46714483801692,-113.49065219445372,12TTN,42,2024
43.308553910354,-113.81716140861371,12TTN,52,2024
42.88158652054268,-113.58742169157685,12TTN,71,2024
42.55878195311486,-113.74254891476846,12TTN,81,2024
42.66970772423612,-113.61692977638856,12TTN,82,2024
42.489993213803025,-113.9449398825425,12TTN,90,2024
43.13793919215537,-113.60501577157989,12TTN,95,2024
43.99761418000096,-113.76853092545817,12TTP,24,2024
44.05125636918321,-113.66533310877149,12TTP,31,2024
43.59370885869299,-113.70579564512266,12TTP,41,2024
43.877084735133714,-113.7024471758392,12TTP,42,2024
43.6160855469152,-113.67594631339047,12TTP,43,2024
43.48267846399709,-113.77991414306732,12TTP,52,2024
43.568323147419484,-113.98317330754264,12TTP,71,2024
43.49829264853338,-113.97899629509845,12TTP,81,2024
43.3529961517667,-113.84207780593319,12TTP,82,2024
43.51149061367094,-113.96466477611528,12TTP,90,2024
44.00009858460084,-113.79058241042006,12TTP,95,2024
44.62271238567129,-113.98591170973937,12TTQ,24,2024
44.31411547082984,-113.91272655950016,12TTQ,31,2024
44.831637291007034,-113.78972578592494,12TTQ,41,2024
44.4205438426372,-113.52490481952782,12TTQ,42,2024
44.56790295067676,-113.52503571829611,12TTQ,43,2024
44.32155783220065,-113.86403299291874,12TTQ,52,2024
45.01630470574513,-113.89154764905757,12TTQ,71,2024
45.08328902925464,-113.90571990382306,12TTQ,81,2024
44.6053983113071,-113.89332899477824,12TTQ,82,2024
44.681538003354866,-113.53597327773309,12TTQ,90,2024
45.07070038838445,-113.63256026240072,12TTQ,95,2024
45.17300780506102,-113.8918434723277,12TTR,24,2024
45.19405378057595,-113.6023862414364,12TTR,31,2024
45.33888366065032,-113.83029129833545,12TTR,41,2024
45.53732705254839,-113.80064102401828,12TTR,42,2024
45.3655018966167,-113.78522001255838,12TTR,43,2024
45.715839343735546,-113.78500749442647,12TTR,52,2024
45.73051374832624,-113.62200023195408,12TTR,71,2024
45.27337035642608,-113.8846925036946,12TTR,81,2024
45.12771704516279,-113.87341337069715,12TTR,82,2024
45.679906531969614,-113.65781283604531,12TTR,90,2024
45.41285054629834,-113.58341477930668,12TTR,95,2024
46.86663974772444,-113.99900407032645,12TTS,24,2024
46.27066564959998,-113.62375746986363,12TTS,31,2024
46.65676158354928,-113.65953993025158,12TTS,41,2024
46.2932145372841,-113.68279500022857,12TTS,42,2024
46.28007707977725,-113.85355101411157,12TTS,43,2024
46.30279102363672,-113.67273375652516,12TTS,52,2024
46.67293667064866,-113.99120104983649,12TTS,71,2024
46.590089363176695,-113.98183477898485,12TTS,81,2024
46.5789540970223,-113.96605136140161,12TTS,82,2024
46.72496661968302,-113.67964231704455,12TTS,90,2024
46.80031587657346,-113.78020551083539,12TTS,95,2024
47.646757084333,-113.96803157348342,12TTT,31,2024
47.75594220950459,-113.75839529992142,12TTT,41,2024
