MGRS: 11T
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1234   0.0920  -0.0008   0.8379   0.0837   0.8206     7595
        climo_mean   0.1264   0.0921  -0.0038   0.8102   0.0952   0.8115     7595
      climo_median   0.1319   0.0884  -0.0081   0.8322   0.0794   0.7970     7595
             conor   0.1033   0.0769  -0.0020   0.8994   0.0505   0.8746     7595
     interp_clim_a   0.1090   0.0816  -0.0023   0.8241   0.0894   0.8614     7595
     interp_clim_b   0.1101   0.0823  -0.0018   0.8245   0.0897   0.8583     7595
     interp_clim_c   0.1101   0.0806  -0.0045   0.8351   0.0815   0.8577     7595
       whit_a_0p50   0.1263   0.0942  -0.0007   0.8493   0.0779   0.8133     7595
       whit_a_0p20   0.1254   0.0927  -0.0003   0.8677   0.0686   0.8175     7595
       whit_a_0p10   0.1259   0.0927  -0.0002   0.8770   0.0639   0.8172     7595
       whit_a_0p05   0.1269   0.0932  -0.0002   0.8830   0.0608   0.8154     7595
       whit_a_0p01   0.1288   0.0945  -0.0002   0.8890   0.0577   0.8116     7595

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1039   0.0773  -0.0023   0.8791   0.0627   0.8893     7595
        climo_mean   0.1178   0.0829  -0.0015   0.8577   0.0751   0.8575     7595
      climo_median   0.1220   0.0798  -0.0032   0.8816   0.0604   0.8486     7595
             conor   0.0868   0.0641   0.0009   0.9434   0.0313   0.9232     7595
     interp_clim_a   0.0959   0.0707  -0.0019   0.8684   0.0689   0.9072     7595
     interp_clim_b   0.0961   0.0708  -0.0020   0.8682   0.0689   0.9068     7595
     interp_clim_c   0.0967   0.0696  -0.0028   0.8803   0.0616   0.9047     7595
       whit_a_0p50   0.1079   0.0799   0.0002   0.8927   0.0579   0.8806     7595
       whit_a_0p20   0.1059   0.0777   0.0015   0.9119   0.0489   0.8856     7595
       whit_a_0p10   0.1056   0.0772   0.0020   0.9213   0.0443   0.8869     7595
       whit_a_0p05   0.1059   0.0774   0.0022   0.9272   0.0414   0.8868     7595
       whit_a_0p01   0.1069   0.0782   0.0025   0.9330   0.0385   0.8854     7595

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1506   0.1151   0.0087   0.7443   0.1311   0.6580     7543
        climo_mean   0.1390   0.1064  -0.0061   0.6878   0.1434   0.6987     7543
      climo_median   0.1439   0.1013  -0.0138   0.7090   0.1255   0.6807     7543
             conor   0.1253   0.0962  -0.0039   0.7902   0.0965   0.7564     7543
     interp_clim_a   0.1284   0.0988   0.0013   0.7160   0.1373   0.7434     7543
     interp_clim_b   0.1308   0.1003   0.0025   0.7171   0.1379   0.7333     7543
     interp_clim_c   0.1294   0.0973  -0.0025   0.7266   0.1283   0.7388     7543
       whit_a_0p50   0.1531   0.1168   0.0025   0.7452   0.1245   0.6484     7543
       whit_a_0p20   0.1536   0.1168   0.0007   0.7573   0.1169   0.6494     7543
       whit_a_0p10   0.1549   0.1176   0.0000   0.7647   0.1127   0.6467     7543
       whit_a_0p05   0.1564   0.1187  -0.0004   0.7702   0.1096   0.6428     7543
       whit_a_0p01   0.1590   0.1207  -0.0009   0.7763   0.1062   0.6359     7543

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1700   0.1289   0.0092   0.6570   0.1669   0.5460     4869
        climo_mean   0.1587   0.1225  -0.0012   0.5909   0.1868   0.5835     4869
      climo_median   0.1644   0.1149  -0.0136   0.6070   0.1670   0.5597     4869
