MGRS: 13T
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1206   0.0912   0.0017   0.7801   0.1112   0.7598     7792
        climo_mean   0.1258   0.0950  -0.0025   0.7338   0.1302   0.7380     7792
      climo_median   0.1307   0.0923  -0.0072   0.7555   0.1146   0.7196     7792
             conor   0.1036   0.0780  -0.0009   0.8553   0.0712   0.8235     7792
     interp_clim_a   0.1085   0.0827  -0.0004   0.7570   0.1207   0.8083     7792
     interp_clim_b   0.1092   0.0832  -0.0002   0.7573   0.1208   0.8054     7792
     interp_clim_c   0.1096   0.0819  -0.0028   0.7678   0.1129   0.8026     7792
       whit_a_0p50   0.1226   0.0925   0.0010   0.7947   0.1033   0.7532     7792
       whit_a_0p20   0.1225   0.0919   0.0006   0.8171   0.0918   0.7565     7792
       whit_a_0p10   0.1234   0.0924   0.0005   0.8284   0.0860   0.7548     7792
       whit_a_0p05   0.1248   0.0933   0.0003   0.8358   0.0822   0.7516     7792
       whit_a_0p01   0.1271   0.0949   0.0002   0.8434   0.0782   0.7455     7792

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1099   0.0835  -0.0079   0.8015   0.1027   0.8098     7792
        climo_mean   0.1242   0.0941  -0.0009   0.7467   0.1403   0.7560     7792
      climo_median   0.1277   0.0912  -0.0030   0.7712   0.1246   0.7430     7792
             conor   0.0939   0.0715  -0.0007   0.8760   0.0684   0.8607     7792
     interp_clim_a   0.1024   0.0786  -0.0044   0.7741   0.1215   0.8393     7792
     interp_clim_b   0.1025   0.0787  -0.0044   0.7741   0.1215   0.8390     7792
     interp_clim_c   0.1029   0.0776  -0.0054   0.7863   0.1136   0.8357     7792
       whit_a_0p50   0.1132   0.0858  -0.0019   0.8110   0.1034   0.7975     7792
       whit_a_0p20   0.1110   0.0839  -0.0001   0.8337   0.0925   0.8059     7792
       whit_a_0p10   0.1106   0.0835   0.0003   0.8454   0.0864   0.8081     7792
       whit_a_0p05   0.1109   0.0836   0.0004   0.8533   0.0821   0.8080     7792
       whit_a_0p01   0.1119   0.0844   0.0003   0.8616   0.0774   0.8058     7792

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1402   0.1077   0.0191   0.6641   0.1558   0.5360     7736
        climo_mean   0.1288   0.0981  -0.0032   0.5897   0.1638   0.5756     7736
      climo_median   0.1341   0.0949  -0.0114   0.6012   0.1509   0.5475     7736
             conor   0.1180   0.0904  -0.0033   0.7091   0.1152   0.6489     7736
     interp_clim_a   0.1204   0.0926   0.0079   0.6269   0.1598   0.6300     7736
     interp_clim_b   0.1222   0.0939   0.0095   0.6288   0.1606   0.6198     7736
     interp_clim_c   0.1218   0.0917   0.0038   0.6326   0.1534   0.6205     7736
       whit_a_0p50   0.1415   0.1081   0.0088   0.6597   0.1473   0.5240     7736
       whit_a_0p20   0.1426   0.1086   0.0041   0.6714   0.1379   0.5219     7736
       whit_a_0p10   0.1445   0.1100   0.0023   0.6788   0.1330   0.5162     7736
       whit_a_0p05   0.1465   0.1115   0.0013   0.6842   0.1298   0.5095     7736
