MGRS: 13T
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       whit_a_0p01   0.1497   0.1138   0.0005   0.6900   0.1267   0.4988     7736

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1546   0.1176   0.0301   0.5546   0.1914   0.4350     6327
        climo_mean   0.1373   0.1038   0.0032   0.5200   0.1771   0.5105     6327
      climo_median   0.1434   0.0979  -0.0092   0.5172   0.1657   0.4721     6327
             conor   0.1280   0.0973   0.0027   0.6421   0.1323   0.5805     6327
     interp_clim_a   0.1315   0.1002   0.0166   0.5373   0.1842   0.5583     6327
     interp_clim_b   0.1361   0.1035   0.0197   0.5385   0.1869   0.5291     6327
     interp_clim_c   0.1326   0.0981   0.0104   0.5359   0.1786   0.5461     6327
       whit_a_0p50   0.1551   0.1175   0.0185   0.5475   0.1825   0.4215     6327
       whit_a_0p20   0.1558   0.1176   0.0126   0.5719   0.1677   0.4245     6327
       whit_a_0p10   0.1575   0.1187   0.0097   0.5869   0.1594   0.4221     6327
       whit_a_0p05   0.1595   0.1201   0.0079   0.5978   0.1536   0.4177     6327
       whit_a_0p01   0.1628   0.1226   0.0060   0.6096   0.1475   0.4098     6327

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1437   0.1093   0.0029   0.7141   0.1446   0.6513     7792
        climo_mean   0.1257   0.0957  -0.0030   0.7288   0.1314   0.7283     7792
      climo_median   0.1300   0.0928  -0.0072   0.7512   0.1160   0.7123     7792
             conor   0.1102   0.0838  -0.0022   0.8015   0.0961   0.7914     7792
     interp_clim_a   0.1183   0.0908  -0.0000   0.7214   0.1380   0.7614     7792
     interp_clim_b   0.1201   0.0919   0.0010   0.7188   0.1403   0.7534     7792
     interp_clim_c   0.1188   0.0898  -0.0021   0.7326   0.1303   0.7581     7792
       whit_a_0p50   0.1468   0.1112   0.0026   0.7537   0.1246   0.6471     7792
       whit_a_0p20   0.1486   0.1122   0.0022   0.7761   0.1132   0.6462     7792
       whit_a_0p10   0.1509   0.1139   0.0020   0.7871   0.1075   0.6413     7792
       whit_a_0p05   0.1533   0.1157   0.0018   0.7939   0.1039   0.6354     7792
       whit_a_0p01   0.1569   0.1185   0.0015   0.8003   0.1005   0.6257     7792

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1290   0.0982  -0.0155   0.7610   0.1155   0.7379     7792
        climo_mean   0.1221   0.0931  -0.0000   0.7588   0.1322   0.7611     7792
      climo_median   0.1250   0.0898  -0.0018   0.7820   0.1177   0.7508     7792
             conor   0.0988   0.0756   0.0005   0.8404   0.0879   0.8436     7792
     interp_clim_a   0.1084   0.0837  -0.0078   0.7599   0.1238   0.8167     7792
     interp_clim_b   0.1086   0.0838  -0.0078   0.7597   0.1239   0.8159     7792
     interp_clim_c   0.1086   0.0826  -0.0087   0.7715   0.1166   0.8145     7792
       whit_a_0p50   0.1327   0.1006  -0.0063   0.7942   0.1065   0.7251     7792
       whit_a_0p20   0.1327   0.1003  -0.0034   0.8210   0.0947   0.7295     7792
       whit_a_0p10   0.1337   0.1010  -0.0022   0.8346   0.0885   0.7290     7792
       whit_a_0p05   0.1351   0.1022  -0.0014   0.8436   0.0843   0.7265     7792
       whit_a_0p01   0.1375   0.1041  -0.0007   0.8525   0.0802   0.7212     7792

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1623   0.1244   0.0323   0.6226   0.1914   0.4762     7736
        climo_mean   0.1323   0.1009  -0.0048   0.5941   0.1663   0.6073     7736
      climo_median   0.1374   0.0970  -0.0135   0.6059   0.1526   0.5805     7736
             conor   0.1237   0.0940  -0.0055   0.6664   0.1351   0.6567     7736
     interp_clim_a   0.1317   0.1009   0.0137   0.6083   0.1789   0.6139     7736
     interp_clim_b   0.1355   0.1036   0.0161   0.6048   0.1827   0.5932     7736
     interp_clim_c   0.1328   0.0998   0.0094   0.6142   0.1720   0.6055     7736
       whit_a_0p50   0.1644   0.1254   0.0182   0.6342   0.1724   0.4630     7736
       whit_a_0p20   0.1669   0.1274   0.0125   0.6468   0.1614   0.4562     7736
       whit_a_0p10   0.1699   0.1297   0.0098   0.6540   0.1557   0.4478     7736
       whit_a_0p05   0.1729   0.1320   0.0081   0.6588   0.1520   0.4391     7736
       whit_a_0p01   0.1772   0.1354   0.0065   0.6634   0.1484   0.4263     7736

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1620   0.1247   0.0086   0.6497   0.1802   0.5648     7792
        climo_mean   0.1259   0.0958  -0.0014   0.7223   0.1347   0.7284     7792
      climo_median   0.1306   0.0930  -0.0065   0.7443   0.1187   0.7102     7792
             conor   0.1149   0.0871  -0.0007   0.7722   0.1109   0.7738     7792
     interp_clim_a   0.1264   0.0976   0.0036   0.6860   0.1574   0.7289     7792
     interp_clim_b   0.1290   0.0992   0.0051   0.6818   0.1609   0.7173     7792
     interp_clim_c   0.1269   0.0965   0.0011   0.6970   0.1494   0.7252     7792
       whit_a_0p50   0.1666   0.1271   0.0082   0.7047   0.1528   0.5619     7792
       whit_a_0p20   0.1699   0.1294   0.0080   0.7314   0.1396   0.5595     7792
       whit_a_0p10   0.1732   0.1319   0.0079   0.7448   0.1328   0.5535     7792
       whit_a_0p05   0.1762   0.1344   0.0077   0.7535   0.1284   0.5472     7792
       whit_a_0p01   0.1805   0.1378   0.0074   0.7621   0.1239   0.5373     7792

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1478   0.1129  -0.0230   0.7002   0.1376   0.6660     7792
        climo_mean   0.1212   0.0918  -0.0002   0.7587   0.1291   0.7688     7792
      climo_median   0.1239   0.0887  -0.0024   0.7823   0.1143   0.7588     7792
             conor   0.1050   0.0797   0.0000   0.8141   0.0996   0.8266     7792
     interp_clim_a   0.1162   0.0892  -0.0116   0.7295   0.1333   0.7948     7792
     interp_clim_b   0.1164   0.0893  -0.0116   0.7291   0.1336   0.7938     7792
     interp_clim_c   0.1159   0.0879  -0.0127   0.7412   0.1259   0.7946     7792
       whit_a_0p50   0.1518   0.1154  -0.0132   0.7606   0.1150   0.6562     7792
       whit_a_0p20   0.1541   0.1170  -0.0108   0.7891   0.1021   0.6552     7792
       whit_a_0p10   0.1567   0.1190  -0.0099   0.8030   0.0957   0.6505     7792
       whit_a_0p05   0.1593   0.1212  -0.0093   0.8118   0.0915   0.6446     7792
       whit_a_0p01   0.1633   0.1244  -0.0087   0.8201   0.0877   0.6350     7792

Randomly drop a three month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1752   0.1355   0.0353   0.6125   0.2071   0.4515     7736
        climo_mean   0.1334   0.1021  -0.0041   0.6336   0.1584   0.6340     7736
      climo_median   0.1386   0.0982  -0.0120   0.6468   0.1446   0.6102     7736
             conor   0.1261   0.0963  -0.0044   0.6877   0.1341   0.6737     7736
     interp_clim_a   0.1372   0.1059   0.0156   0.6231   0.1827   0.6178     7736
     interp_clim_b   0.1421   0.1091   0.0185   0.6162   0.1887   0.5929     7736
     interp_clim_c   0.1382   0.1048   0.0117   0.6297   0.1759   0.6107     7736
       whit_a_0p50   0.1787   0.1366   0.0226   0.6478   0.1787   0.4454     7736
       whit_a_0p20   0.1830   0.1395   0.0190   0.6644   0.1678   0.4371     7736
       whit_a_0p10   0.1869   0.1425   0.0174   0.6725   0.1626   0.4277     7736
       whit_a_0p05   0.1905   0.1454   0.0164   0.6772   0.1596   0.4186     7736
       whit_a_0p01   0.1956   0.1494   0.0154   0.6814   0.1567   0.4057     7736

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1756   0.1341   0.0061   0.6090   0.1984   0.4975     7792
        climo_mean   0.1249   0.0954  -0.0025   0.7235   0.1335   0.7329     7792
      climo_median   0.1291   0.0921  -0.0079   0.7452   0.1174   0.7169     7792
             conor   0.1158   0.0880  -0.0023   0.7643   0.1136   0.7707     7792
     interp_clim_a   0.1311   0.1006   0.0018   0.6662   0.1660   0.7082     7792
     interp_clim_b   0.1339   0.1024   0.0034   0.6616   0.1698   0.6946     7792
     interp_clim_c   0.1313   0.0994  -0.0009   0.6771   0.1579   0.7057     7792
       whit_a_0p50   0.1811   0.1364   0.0056   0.6778   0.1641   0.5010     7792
       whit_a_0p20   0.1860   0.1398   0.0057   0.7031   0.1517   0.4953     7792
       whit_a_0p10   0.1905   0.1433   0.0058   0.7143   0.1463   0.4862     7792
       whit_a_0p05   0.1946   0.1467   0.0058   0.7208   0.1431   0.4768     7792
       whit_a_0p01   0.2001   0.1515   0.0059   0.7265   0.1404   0.4636     7792

Randomly drop a four month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1702   0.1308  -0.0139   0.6249   0.1791   0.5494     7792
        climo_mean   0.1198   0.0909  -0.0009   0.7649   0.1202   0.7702     7792
      climo_median   0.1231   0.0880  -0.0042   0.7873   0.1053   0.7588     7792
             conor   0.1085   0.0823  -0.0006   0.8040   0.1003   0.8114     7792
     interp_clim_a   0.1242   0.0963  -0.0074   0.6949   0.1496   0.7595     7792
     interp_clim_b   0.1253   0.0970  -0.0069   0.6929   0.1511   0.7543     7792
     interp_clim_c   0.1239   0.0952  -0.0090   0.7061   0.1422   0.7590     7792
       whit_a_0p50   0.1783   0.1352  -0.0079   0.7046   0.1441   0.5410     7792
       whit_a_0p20   0.1837   0.1388  -0.0076   0.7303   0.1311   0.5332     7792
       whit_a_0p10   0.1883   0.1424  -0.0078   0.7414   0.1253   0.5235     7792
       whit_a_0p05   0.1925   0.1457  -0.0079   0.7477   0.1219   0.5140     7792
       whit_a_0p01   0.1979   0.1503  -0.0081   0.7531   0.1189   0.5009     7792

Randomly drop a four month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1828   0.1418   0.0281   0.5855   0.2201   0.4355     7736
        climo_mean   0.1323   0.1006  -0.0061   0.6605   0.1512   0.6701     7736
      climo_median   0.1374   0.0968  -0.0132   0.6750   0.1373   0.6479     7736
             conor   0.1252   0.0950  -0.0053   0.7030   0.1323   0.7042     7736
     interp_clim_a   0.1398   0.1079   0.0110   0.6230   0.1856   0.6332     7736
     interp_clim_b   0.1449   0.1115   0.0143   0.6149   0.1927   0.6074     7736
     interp_clim_c   0.1405   0.1066   0.0074   0.6302   0.1787   0.6282     7736
       whit_a_0p50   0.1868   0.1442   0.0186   0.6375   0.1865   0.4382     7736
       whit_a_0p20   0.1917   0.1479   0.0167   0.6561   0.1760   0.4299     7736
       whit_a_0p10   0.1960   0.1513   0.0160   0.6642   0.1716   0.4203     7736
       whit_a_0p05   0.1999   0.1544   0.0157   0.6690   0.1691   0.4111     7736
       whit_a_0p01   0.2053   0.1589   0.0155   0.6729   0.1670   0.3981     7736

Randomly drop a six month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1984   0.1534   0.0050   0.5458   0.2286   0.3959     7792
        climo_mean   0.1250   0.0952   0.0009   0.7263   0.1356   0.7376     7792
      climo_median   0.1279   0.0916  -0.0042   0.7491   0.1193   0.7262     7792
             conor   0.1179   0.0898   0.0015   0.7574   0.1210   0.7666     7792
     interp_clim_a   0.1402   0.1089   0.0029   0.6360   0.1821   0.6720     7792
     interp_clim_b   0.1441   0.1114   0.0046   0.6291   0.1872   0.6526     7792
     interp_clim_c   0.1398   0.1077   0.0004   0.6474   0.1739   0.6730     7792
       whit_a_0p50   0.2143   0.1637   0.0034   0.6114   0.1946   0.3762     7792
       whit_a_0p20   0.2213   0.1685   0.0028   0.6341   0.1829   0.3687     7792
       whit_a_0p10   0.2270   0.1730   0.0023   0.6438   0.1776   0.3595     7792
       whit_a_0p05   0.2319   0.1769   0.0018   0.6493   0.1745   0.3508     7792
       whit_a_0p01   0.2385   0.1823   0.0013   0.6533   0.1720   0.3383     7792

Randomly drop a six month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2031   0.1565   0.0091   0.5176   0.2452   0.3695     7792
        climo_mean   0.1215   0.0923  -0.0011   0.7488   0.1218   0.7527     7792
      climo_median   0.1248   0.0894  -0.0059   0.7714   0.1060   0.7409     7792
             conor   0.1152   0.0875  -0.0010   0.7733   0.1100   0.7777     7792
     interp_clim_a   0.1392   0.1085   0.0040   0.6332   0.1835   0.6786     7792
     interp_clim_b   0.1422   0.1102   0.0056   0.6283   0.1876   0.6637     7792
     interp_clim_c   0.1385   0.1073   0.0016   0.6445   0.1756   0.6804     7792
       whit_a_0p50   0.2267   0.1715   0.0049   0.5823   0.2094   0.3306     7792
       whit_a_0p20   0.2330   0.1765   0.0038   0.6102   0.1946   0.3295     7792
       whit_a_0p10   0.2387   0.1814   0.0035   0.6220   0.1886   0.3228     7792
       whit_a_0p05   0.2438   0.1859   0.0035   0.6279   0.1857   0.3149     7792
       whit_a_0p01   0.2507   0.1919   0.0037   0.6319   0.1839   0.3032     7792

Randomly drop a six month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2006   0.1556  -0.0112   0.5386   0.2211   0.3802     7736
        climo_mean   0.1303   0.0993  -0.0024   0.7077   0.1447   0.7098     7736
      climo_median   0.1354   0.0963  -0.0076   0.7267   0.1299   0.6899     7736
             conor   0.1233   0.0940  -0.0016   0.7401   0.1292   0.7402     7736
     interp_clim_a   0.1448   0.1122  -0.0068   0.6231   0.1829   0.6433     7736
     interp_clim_b   0.1494   0.1153  -0.0049   0.6141   0.1894   0.6188     7736
     interp_clim_c   0.1451   0.1114  -0.0094   0.6326   0.1755   0.6417     7736
       whit_a_0p50   0.2093   0.1606  -0.0097   0.5989   0.1923   0.3796     7736
       whit_a_0p20   0.2150   0.1645  -0.0096   0.6208   0.1813   0.3743     7736
       whit_a_0p10   0.2198   0.1683  -0.0099   0.6310   0.1758   0.3667     7736
       whit_a_0p05   0.2242   0.1717  -0.0103   0.6368   0.1725   0.3588     7736
       whit_a_0p01   0.2300   0.1765  -0.0107   0.6415   0.1697   0.3473     7736

