MGRS: 18T
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       whit_a_0p10   0.1384   0.1044  -0.0119   0.8590   0.1162   0.7498     4482
       whit_a_0p05   0.1401   0.1057  -0.0105   0.8647   0.1125   0.7455     4482
       whit_a_0p01   0.1429   0.1078  -0.0093   0.8700   0.1089   0.7387     4482

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2064   0.1604   0.0884   0.6772   0.2888   0.5322     4422
        climo_mean   0.1445   0.1116  -0.0040   0.6852   0.1915   0.6957     4422
      climo_median   0.1500   0.1064  -0.0105   0.7031   0.1739   0.6744     4422
             conor   0.1391   0.1076  -0.0042   0.7243   0.1670   0.7180     4422
     interp_clim_a   0.1551   0.1213   0.0422   0.6812   0.2401   0.6751     4422
     interp_clim_b   0.1623   0.1260   0.0485   0.6748   0.2505   0.6508     4422
     interp_clim_c   0.1557   0.1198   0.0389   0.6901   0.2313   0.6691     4422
       whit_a_0p50   0.2013   0.1562   0.0572   0.6969   0.2454   0.5181     4422
       whit_a_0p20   0.2011   0.1554   0.0453   0.7134   0.2233   0.5157     4422
       whit_a_0p10   0.2027   0.1562   0.0399   0.7217   0.2127   0.5108     4422
       whit_a_0p05   0.2047   0.1574   0.0363   0.7267   0.2060   0.5051     4422
       whit_a_0p01   0.2080   0.1599   0.0326   0.7309   0.1996   0.4958     4422

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1933   0.1486   0.0189   0.6374   0.2997   0.5987     4482
        climo_mean   0.1241   0.0923  -0.0035   0.8275   0.1301   0.8322     4482
      climo_median   0.1289   0.0892  -0.0050   0.8471   0.1134   0.8200     4482
             conor   0.1206   0.0899  -0.0020   0.8445   0.1184   0.8415     4482
     interp_clim_a   0.1393   0.1070   0.0077   0.7324   0.2149   0.7939     4482
     interp_clim_b   0.1442   0.1098   0.0114   0.7228   0.2260   0.7787     4482
     interp_clim_c   0.1395   0.1058   0.0070   0.7422   0.2065   0.7915     4482
       whit_a_0p50   0.1880   0.1416   0.0159   0.7208   0.2321   0.6304     4482
       whit_a_0p20   0.1886   0.1413   0.0135   0.7514   0.2060   0.6353     4482
       whit_a_0p10   0.1910   0.1431   0.0122   0.7646   0.1945   0.6318     4482
       whit_a_0p05   0.1936   0.1453   0.0114   0.7719   0.1880   0.6264     4482
       whit_a_0p01   0.1975   0.1486   0.0104   0.7780   0.1823   0.6174     4482

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1690   0.1320  -0.0619   0.7355   0.1762   0.6668     4482
        climo_mean   0.1031   0.0760  -0.0061   0.8571   0.1226   0.8542     4482
      climo_median   0.1063   0.0733  -0.0039   0.8746   0.1090   0.8456     4482
             conor   0.1002   0.0741  -0.0046   0.8774   0.1058   0.8625     4482
     interp_clim_a   0.1178   0.0915  -0.0340   0.7963   0.1494   0.8258     4482
     interp_clim_b   0.1189   0.0922  -0.0341   0.7942   0.1512   0.8223     4482
     interp_clim_c   0.1176   0.0903  -0.0329   0.8050   0.1426   0.8250     4482
       whit_a_0p50   0.1642   0.1245  -0.0309   0.7825   0.1648   0.6633     4482
       whit_a_0p20   0.1657   0.1248  -0.0242   0.8039   0.1523   0.6611     4482
       whit_a_0p10   0.1686   0.1269  -0.0220   0.8125   0.1468   0.6539     4482
       whit_a_0p05   0.1717   0.1293  -0.0211   0.8167   0.1438   0.6458     4482
       whit_a_0p01   0.1761   0.1326  -0.0207   0.8195   0.1418   0.6337     4482

Randomly drop a three month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2186   0.1690   0.1068   0.6710   0.3147   0.5278     4422
        climo_mean   0.1401   0.1068  -0.0004   0.7200   0.1765   0.7243     4422
      climo_median   0.1452   0.1014  -0.0060   0.7405   0.1580   0.7059     4422
             conor   0.1358   0.1040  -0.0007   0.7480   0.1585   0.7409     4422
     interp_clim_a   0.1580   0.1215   0.0532   0.6955   0.2456   0.6890     4422
     interp_clim_b   0.1669   0.1272   0.0608   0.6862   0.2591   0.6615     4422
     interp_clim_c   0.1585   0.1203   0.0504   0.7058   0.2363   0.6834     4422
