MGRS: 15T
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1408   0.1066   0.0039   0.7690   0.1770   0.7850     7829
        climo_mean   0.1248   0.0931   0.0030   0.8367   0.1254   0.8308     7829
      climo_median   0.1295   0.0903   0.0008   0.8547   0.1097   0.8194     7829
             conor   0.1157   0.0868  -0.0007   0.8874   0.0837   0.8557     7829
     interp_clim_a   0.1172   0.0885   0.0035   0.8028   0.1512   0.8540     7829
     interp_clim_b   0.1184   0.0892   0.0041   0.8009   0.1533   0.8507     7829
     interp_clim_c   0.1181   0.0877   0.0024   0.8119   0.1434   0.8503     7829
       whit_a_0p50   0.1423   0.1073   0.0016   0.7959   0.1545   0.7801     7829
       whit_a_0p20   0.1398   0.1043   0.0006   0.8304   0.1276   0.7896     7829
       whit_a_0p10   0.1400   0.1041   0.0000   0.8468   0.1148   0.7908     7829
       whit_a_0p05   0.1411   0.1046  -0.0003   0.8569   0.1069   0.7895     7829
       whit_a_0p01   0.1432   0.1061  -0.0007   0.8668   0.0991   0.7855     7829

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1191   0.0926  -0.0176   0.7948   0.1579   0.8236     7829
        climo_mean   0.1043   0.0780   0.0059   0.8632   0.1229   0.8614     7829
      climo_median   0.1070   0.0758   0.0082   0.8777   0.1128   0.8549     7829
             conor   0.0945   0.0725   0.0000   0.9146   0.0730   0.8867     7829
     interp_clim_a   0.0970   0.0747  -0.0059   0.8290   0.1404   0.8836     7829
     interp_clim_b   0.0971   0.0748  -0.0059   0.8287   0.1406   0.8833     7829
     interp_clim_c   0.0971   0.0738  -0.0047   0.8363   0.1353   0.8820     7829
       whit_a_0p50   0.1205   0.0929  -0.0099   0.8069   0.1552   0.8155     7829
       whit_a_0p20   0.1157   0.0885  -0.0057   0.8434   0.1282   0.8295     7829
       whit_a_0p10   0.1146   0.0874  -0.0041   0.8611   0.1147   0.8331     7829
       whit_a_0p05   0.1148   0.0873  -0.0032   0.8720   0.1062   0.8335     7829
       whit_a_0p01   0.1158   0.0880  -0.0025   0.8823   0.0982   0.8315     7829

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1793   0.1390   0.0526   0.6911   0.2309   0.5319     7754
        climo_mean   0.1497   0.1157  -0.0001   0.6125   0.2235   0.6066     7754
      climo_median   0.1546   0.1114  -0.0089   0.6186   0.2113   0.5839     7754
             conor   0.1430   0.1107  -0.0004   0.7056   0.1695   0.6463     7754
     interp_clim_a   0.1465   0.1144   0.0263   0.6518   0.2272   0.6360     7754
     interp_clim_b   0.1492   0.1161   0.0283   0.6504   0.2301   0.6244     7754
     interp_clim_c   0.1471   0.1129   0.0219   0.6548   0.2211   0.6296     7754
       whit_a_0p50   0.1803   0.1394   0.0347   0.6996   0.2081   0.5159     7754
       whit_a_0p20   0.1786   0.1372   0.0232   0.7129   0.1889   0.5204     7754
       whit_a_0p10   0.1794   0.1375   0.0180   0.7207   0.1792   0.5191     7754
       whit_a_0p05   0.1809   0.1384   0.0149   0.7263   0.1729   0.5156     7754
       whit_a_0p01   0.1836   0.1404   0.0120   0.7326   0.1663   0.5089     7754

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1885   0.1448   0.0303   0.5185   0.2721   0.3942     5386
        climo_mean   0.1666   0.1280  -0.0015   0.4856   0.2568   0.4827     5386
      climo_median   0.1726   0.1210  -0.0119   0.4895   0.2444   0.4509     5386
             conor   0.1618   0.1249   0.0019   0.5988   0.2034   0.5230     5386
     interp_clim_a   0.1621   0.1247   0.0144   0.5020   0.2644   0.5148     5386
     interp_clim_b   0.1678   0.1288   0.0188   0.5013   0.2692   0.4828     5386
     interp_clim_c   0.1635   0.1227   0.0092   0.5040   0.2582   0.5037     5386
       whit_a_0p50   0.1896   0.1442  -0.0048   0.5109   0.2407   0.3778     5386
       whit_a_0p20   0.1920   0.1457  -0.0073   0.5362   0.2255   0.3791     5386
       whit_a_0p10   0.1947   0.1479  -0.0066   0.5511   0.2188   0.3760     5386
       whit_a_0p05   0.1974   0.1500  -0.0054   0.5620   0.2145   0.3719     5386
       whit_a_0p01   0.2013   0.1532  -0.0037   0.5739   0.2101   0.3651     5386

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1789   0.1388   0.0130   0.6704   0.2550   0.6494     7829
        climo_mean   0.1257   0.0946   0.0030   0.8320   0.1264   0.8258     7829
      climo_median   0.1294   0.0910   0.0011   0.8501   0.1111   0.8166     7829
             conor   0.1204   0.0908   0.0004   0.8604   0.1029   0.8406     7829
     interp_clim_a   0.1331   0.1027   0.0080   0.7512   0.1907   0.8094     7829
     interp_clim_b   0.1364   0.1044   0.0096   0.7454   0.1966   0.7993     7829
     interp_clim_c   0.1332   0.1015   0.0070   0.7603   0.1831   0.8077     7829
       whit_a_0p50   0.1778   0.1357   0.0097   0.7321   0.2065   0.6601     7829
       whit_a_0p20   0.1758   0.1328   0.0074   0.7686   0.1774   0.6732     7829
       whit_a_0p10   0.1766   0.1329   0.0064   0.7857   0.1637   0.6746     7829
       whit_a_0p05   0.1783   0.1339   0.0057   0.7963   0.1554   0.6724     7829
       whit_a_0p01   0.1816   0.1363   0.0051   0.8062   0.1474   0.6662     7829

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1540   0.1210  -0.0341   0.7105   0.2150   0.7019     7829
        climo_mean   0.1034   0.0780   0.0066   0.8620   0.1253   0.8591     7829
      climo_median   0.1064   0.0757   0.0084   0.8785   0.1130   0.8520     7829
             conor   0.0963   0.0733   0.0033   0.8953   0.0934   0.8777     7829
     interp_clim_a   0.1092   0.0851  -0.0138   0.7863   0.1702   0.8494     7829
     interp_clim_b   0.1095   0.0854  -0.0138   0.7856   0.1708   0.8484     7829
     interp_clim_c   0.1089   0.0842  -0.0128   0.7945   0.1640   0.8488     7829
       whit_a_0p50   0.1525   0.1167  -0.0124   0.7371   0.2138   0.6968     7829
       whit_a_0p20   0.1470   0.1114  -0.0062   0.7764   0.1862   0.7192     7829
       whit_a_0p10   0.1460   0.1103  -0.0040   0.7968   0.1709   0.7251     7829
       whit_a_0p05   0.1466   0.1106  -0.0028   0.8099   0.1608   0.7257     7829
       whit_a_0p01   0.1484   0.1121  -0.0019   0.8228   0.1507   0.7226     7829

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2105   0.1633   0.0750   0.6208   0.2910   0.4397     7754
        climo_mean   0.1558   0.1192  -0.0026   0.5974   0.2268   0.6018     7754
      climo_median   0.1622   0.1147  -0.0110   0.6023   0.2155   0.5719     7754
             conor   0.1506   0.1153  -0.0054   0.6484   0.1949   0.6286     7754
     interp_clim_a   0.1632   0.1268   0.0362   0.6091   0.2589   0.5851     7754
     interp_clim_b   0.1691   0.1307   0.0402   0.6016   0.2671   0.5600     7754
     interp_clim_c   0.1643   0.1253   0.0320   0.6115   0.2532   0.5761     7754
       whit_a_0p50   0.2094   0.1613   0.0371   0.6259   0.2502   0.4129     7754
       whit_a_0p20   0.2099   0.1612   0.0229   0.6369   0.2298   0.4106     7754
       whit_a_0p10   0.2121   0.1626   0.0171   0.6438   0.2200   0.4059     7754
       whit_a_0p05   0.2147   0.1646   0.0139   0.6490   0.2138   0.4005     7754
       whit_a_0p01   0.2190   0.1680   0.0110   0.6548   0.2076   0.3916     7754

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2042   0.1596   0.0180   0.6041   0.3060   0.5486     7829
        climo_mean   0.1277   0.0951   0.0037   0.8249   0.1311   0.8201     7829
      climo_median   0.1319   0.0920   0.0013   0.8431   0.1155   0.8093     7829
             conor   0.1220   0.0911   0.0016   0.8482   0.1120   0.8359     7829
     interp_clim_a   0.1429   0.1101   0.0108   0.7145   0.2185   0.7815     7829
     interp_clim_b   0.1469   0.1124   0.0133   0.7066   0.2267   0.7686     7829
     interp_clim_c   0.1429   0.1089   0.0096   0.7236   0.2107   0.7794     7829
       whit_a_0p50   0.2027   0.1552   0.0161   0.6906   0.2412   0.5731     7829
       whit_a_0p20   0.2004   0.1521   0.0138   0.7297   0.2104   0.5909     7829
       whit_a_0p10   0.2012   0.1522   0.0127   0.7482   0.1958   0.5945     7829
       whit_a_0p05   0.2028   0.1533   0.0119   0.7593   0.1871   0.5935     7829
       whit_a_0p01   0.2060   0.1555   0.0112   0.7694   0.1790   0.5883     7829

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1939   0.1540  -0.0486   0.6218   0.2729   0.5568     7829
        climo_mean   0.1038   0.0784   0.0050   0.8659   0.1190   0.8625     7829
      climo_median   0.1070   0.0762   0.0068   0.8815   0.1075   0.8551     7829
             conor   0.0993   0.0754   0.0027   0.8861   0.0996   0.8741     7829
     interp_clim_a   0.1243   0.0985  -0.0218   0.7439   0.1960   0.8147     7829
     interp_clim_b   0.1252   0.0991  -0.0215   0.7418   0.1980   0.8113     7829
     interp_clim_c   0.1236   0.0974  -0.0209   0.7517   0.1902   0.8153     7829
       whit_a_0p50   0.1937   0.1491  -0.0135   0.6578   0.2774   0.5455     7829
       whit_a_0p20   0.1886   0.1432  -0.0037   0.6945   0.2559   0.5719     7829
       whit_a_0p10   0.1871   0.1415   0.0002   0.7142   0.2432   0.5821     7829
       whit_a_0p05   0.1870   0.1411   0.0024   0.7273   0.2342   0.5865     7829
       whit_a_0p01   0.1880   0.1417   0.0041   0.7407   0.2246   0.5878     7829

Randomly drop a three month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2145   0.1675   0.0935   0.6530   0.2971   0.4718     7754
        climo_mean   0.1478   0.1135  -0.0042   0.6455   0.2039   0.6503     7754
      climo_median   0.1522   0.1084  -0.0112   0.6572   0.1900   0.6319     7754
             conor   0.1419   0.1092  -0.0054   0.6876   0.1780   0.6779     7754
     interp_clim_a   0.1589   0.1243   0.0446   0.6492   0.2505   0.6280     7754
     interp_clim_b   0.1656   0.1288   0.0495   0.6401   0.2607   0.6023     7754
     interp_clim_c   0.1590   0.1227   0.0411   0.6551   0.2436   0.6235     7754
       whit_a_0p50   0.2118   0.1639   0.0490   0.6777   0.2382   0.4435     7754
       whit_a_0p20   0.2127   0.1635   0.0331   0.6866   0.2170   0.4361     7754
       whit_a_0p10   0.2157   0.1655   0.0265   0.6915   0.2076   0.4279     7754
       whit_a_0p05   0.2191   0.1682   0.0229   0.6949   0.2020   0.4196     7754
       whit_a_0p01   0.2242   0.1723   0.0198   0.6984   0.1968   0.4077     7754

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2324   0.1839   0.0236   0.5316   0.3618   0.4312     7829
        climo_mean   0.1290   0.0966   0.0034   0.8188   0.1342   0.8157     7829
      climo_median   0.1327   0.0932   0.0010   0.8373   0.1184   0.8060     7829
             conor   0.1247   0.0932   0.0016   0.8361   0.1199   0.8278     7829
     interp_clim_a   0.1551   0.1217   0.0135   0.6752   0.2480   0.7412     7829
     interp_clim_b   0.1600   0.1248   0.0170   0.6656   0.2584   0.7241     7829
     interp_clim_c   0.1546   0.1204   0.0123   0.6845   0.2401   0.7413     7829
       whit_a_0p50   0.2333   0.1810   0.0243   0.6260   0.2944   0.4617     7829
