MGRS: 14T
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       whit_a_0p05   0.1630   0.1222   0.0014   0.7687   0.1443   0.6320     7856
       whit_a_0p01   0.1664   0.1247   0.0010   0.7790   0.1375   0.6240     7856

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1387   0.1083  -0.0231   0.7122   0.1807   0.6925     7856
        climo_mean   0.1218   0.0932   0.0066   0.7643   0.1734   0.7565     7856
      climo_median   0.1252   0.0906   0.0091   0.7832   0.1626   0.7454     7856
             conor   0.1015   0.0783   0.0029   0.8370   0.1183   0.8305     7856
     interp_clim_a   0.1117   0.0879  -0.0082   0.7382   0.1771   0.8006     7856
     interp_clim_b   0.1118   0.0880  -0.0082   0.7382   0.1771   0.8004     7856
     interp_clim_c   0.1117   0.0868  -0.0070   0.7477   0.1716   0.7986     7856
       whit_a_0p50   0.1412   0.1090  -0.0069   0.7363   0.1798   0.6778     7856
       whit_a_0p20   0.1381   0.1062  -0.0026   0.7733   0.1579   0.6952     7856
       whit_a_0p10   0.1378   0.1058  -0.0011   0.7933   0.1453   0.6998     7856
       whit_a_0p05   0.1386   0.1063  -0.0004   0.8067   0.1365   0.6999     7856
       whit_a_0p01   0.1407   0.1078   0.0001   0.8203   0.1274   0.6963     7856

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1789   0.1348   0.0460   0.5866   0.2540   0.4259     7850
        climo_mean   0.1466   0.1102  -0.0013   0.5361   0.2322   0.5436     7850
      climo_median   0.1541   0.1071  -0.0095   0.5343   0.2248   0.4999     7850
             conor   0.1394   0.1044  -0.0029   0.6097   0.1935   0.5885     7850
     interp_clim_a   0.1461   0.1103   0.0223   0.5613   0.2431   0.5573     7850
     interp_clim_b   0.1495   0.1122   0.0243   0.5578   0.2468   0.5387     7850
     interp_clim_c   0.1484   0.1097   0.0182   0.5604   0.2394   0.5400     7850
       whit_a_0p50   0.1809   0.1353   0.0197   0.5935   0.2243   0.4029     7850
       whit_a_0p20   0.1841   0.1372   0.0113   0.6047   0.2103   0.3948     7850
       whit_a_0p10   0.1875   0.1397   0.0081   0.6121   0.2034   0.3865     7850
       whit_a_0p05   0.1909   0.1423   0.0065   0.6176   0.1989   0.3783     7850
       whit_a_0p01   0.1958   0.1462   0.0052   0.6238   0.1945   0.3667     7850

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1826   0.1392   0.0118   0.5911   0.2614   0.5158     7856
        climo_mean   0.1354   0.1025   0.0053   0.7245   0.1735   0.7268     7856
      climo_median   0.1398   0.0994   0.0030   0.7445   0.1590   0.7100     7856
             conor   0.1246   0.0942   0.0031   0.7694   0.1439   0.7685     7856
     interp_clim_a   0.1388   0.1068   0.0086   0.6578   0.2174   0.7190     7856
     interp_clim_b   0.1409   0.1080   0.0097   0.6539   0.2210   0.7095     7856
     interp_clim_c   0.1390   0.1059   0.0074   0.6678   0.2102   0.7159     7856
       whit_a_0p50   0.1868   0.1400   0.0105   0.6628   0.2163   0.5200     7856
       whit_a_0p20   0.1883   0.1400   0.0092   0.6966   0.1944   0.5268     7856
       whit_a_0p10   0.1906   0.1414   0.0084   0.7130   0.1836   0.5256     7856
       whit_a_0p05   0.1931   0.1434   0.0078   0.7232   0.1767   0.5221     7856
       whit_a_0p01   0.1969   0.1464   0.0070   0.7330   0.1699   0.5148     7856

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1731   0.1327  -0.0341   0.6287   0.2261   0.5512     7856
        climo_mean   0.1221   0.0934   0.0040   0.7729   0.1631   0.7626     7856
      climo_median   0.1251   0.0907   0.0062   0.7929   0.1513   0.7529     7856
             conor   0.1091   0.0835   0.0022   0.8184   0.1295   0.8102     7856
     interp_clim_a   0.1247   0.0973  -0.0150   0.7008   0.1946   0.7600     7856
     interp_clim_b   0.1250   0.0974  -0.0149   0.7003   0.1951   0.7588     7856
     interp_clim_c   0.1241   0.0960  -0.0139   0.7108   0.1887   0.7606     7856
       whit_a_0p50   0.1775   0.1341  -0.0098   0.6743   0.2184   0.5352     7856
       whit_a_0p20   0.1768   0.1329  -0.0034   0.7105   0.1995   0.5490     7856
       whit_a_0p10   0.1776   0.1334  -0.0008   0.7301   0.1883   0.5532     7856
       whit_a_0p05   0.1790   0.1346   0.0006   0.7432   0.1805   0.5537     7856
       whit_a_0p01   0.1816   0.1371   0.0016   0.7568   0.1720   0.5510     7856

Randomly drop a three month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1852   0.1432   0.0559   0.5824   0.2726   0.4361     7850
        climo_mean   0.1468   0.1105  -0.0010   0.5640   0.2252   0.5764     7850
      climo_median   0.1516   0.1057  -0.0090   0.5743   0.2119   0.5506     7850
             conor   0.1381   0.1037  -0.0025   0.6202   0.1946   0.6247     7850
     interp_clim_a   0.1486   0.1141   0.0274   0.5732   0.2489   0.5806     7850
     interp_clim_b   0.1516   0.1163   0.0296   0.5692   0.2532   0.5649     7850
     interp_clim_c   0.1493   0.1127   0.0234   0.5784   0.2423   0.5722     7850
       whit_a_0p50   0.1891   0.1437   0.0257   0.6069   0.2297   0.4074     7850
       whit_a_0p20   0.1920   0.1453   0.0145   0.6153   0.2141   0.3979     7850
       whit_a_0p10   0.1953   0.1477   0.0094   0.6197   0.2068   0.3887     7850
       whit_a_0p05   0.1986   0.1502   0.0063   0.6226   0.2022   0.3798     7850
       whit_a_0p01   0.2036   0.1541   0.0035   0.6254   0.1979   0.3670     7850

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1971   0.1534   0.0126   0.5400   0.2931   0.4326     7856
        climo_mean   0.1348   0.1024   0.0039   0.7276   0.1699   0.7214     7856
      climo_median   0.1389   0.0989   0.0013   0.7482   0.1548   0.7064     7856
             conor   0.1271   0.0959   0.0021   0.7617   0.1474   0.7524     7856
     interp_clim_a   0.1442   0.1120   0.0082   0.6338   0.2315   0.6860     7856
     interp_clim_b   0.1465   0.1135   0.0099   0.6287   0.2363   0.6751     7856
     interp_clim_c   0.1442   0.1108   0.0069   0.6441   0.2240   0.6837     7856
       whit_a_0p50   0.2038   0.1556   0.0124   0.6244   0.2414   0.4410     7856
       whit_a_0p20   0.2069   0.1572   0.0117   0.6595   0.2193   0.4466     7856
       whit_a_0p10   0.2101   0.1596   0.0114   0.6764   0.2087   0.4448     7856
       whit_a_0p05   0.2135   0.1621   0.0112   0.6868   0.2021   0.4403     7856
       whit_a_0p01   0.2185   0.1661   0.0109   0.6964   0.1961   0.4316     7856

Randomly drop a four month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2003   0.1569  -0.0386   0.5436   0.2730   0.4397     7856
        climo_mean   0.1208   0.0933   0.0075   0.7822   0.1562   0.7799     7856
      climo_median   0.1241   0.0909   0.0099   0.8035   0.1441   0.7697     7856
             conor   0.1120   0.0864   0.0060   0.8124   0.1341   0.8105     7856
     interp_clim_a   0.1355   0.1072  -0.0155   0.6629   0.2146   0.7322     7856
     interp_clim_b   0.1365   0.1077  -0.0150   0.6608   0.2166   0.7275     7856
     interp_clim_c   0.1347   0.1058  -0.0144   0.6736   0.2085   0.7334     7856
       whit_a_0p50   0.2061   0.1583  -0.0112   0.6077   0.2566   0.4311     7856
       whit_a_0p20   0.2089   0.1589  -0.0031   0.6420   0.2413   0.4362     7856
       whit_a_0p10   0.2121   0.1609   0.0004   0.6601   0.2325   0.4351     7856
       whit_a_0p05   0.2152   0.1631   0.0023   0.6720   0.2263   0.4320     7856
       whit_a_0p01   0.2198   0.1666   0.0039   0.6838   0.2198   0.4255     7856

Randomly drop a four month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1931   0.1504   0.0675   0.5972   0.2830   0.4438     7850
        climo_mean   0.1429   0.1078   0.0016   0.6083   0.2113   0.6204     7850
      climo_median   0.1479   0.1037  -0.0040   0.6179   0.2006   0.5942     7850
             conor   0.1352   0.1018  -0.0005   0.6539   0.1848   0.6600     7850
     interp_clim_a   0.1493   0.1150   0.0345   0.6027   0.2472   0.6075     7850
     interp_clim_b   0.1532   0.1177   0.0374   0.5961   0.2535   0.5894     7850
     interp_clim_c   0.1500   0.1139   0.0317   0.6076   0.2418   0.6004     7850
       whit_a_0p50   0.2007   0.1542   0.0397   0.6517   0.2262   0.4149     7850
       whit_a_0p20   0.2049   0.1569   0.0293   0.6647   0.2088   0.4037     7850
       whit_a_0p10   0.2089   0.1598   0.0246   0.6701   0.2011   0.3937     7850
       whit_a_0p05   0.2127   0.1627   0.0216   0.6732   0.1966   0.3842     7850
       whit_a_0p01   0.2184   0.1669   0.0189   0.6759   0.1924   0.3707     7850

Randomly drop a six month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2243   0.1757   0.0021   0.4670   0.3322   0.3104     7856
        climo_mean   0.1325   0.1002   0.0029   0.7389   0.1647   0.7318     7856
      climo_median   0.1372   0.0972   0.0007   0.7587   0.1502   0.7148     7856
             conor   0.1266   0.0954   0.0020   0.7622   0.1493   0.7553     7856
     interp_clim_a   0.1531   0.1195   0.0025   0.6029   0.2484   0.6446     7856
     interp_clim_b   0.1559   0.1214   0.0047   0.5967   0.2545   0.6306     7856
     interp_clim_c   0.1530   0.1183   0.0014   0.6128   0.2412   0.6436     7856
       whit_a_0p50   0.2381   0.1817   0.0011   0.5517   0.2788   0.3137     7856
       whit_a_0p20   0.2450   0.1857   0.0008   0.5830   0.2591   0.3137     7856
       whit_a_0p10   0.2505   0.1897   0.0003   0.5977   0.2495   0.3095     7856
       whit_a_0p05   0.2552   0.1935  -0.0002   0.6065   0.2436   0.3043     7856
       whit_a_0p01   0.2616   0.1987  -0.0011   0.6146   0.2377   0.2963     7856

Randomly drop a six month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2407   0.1903  -0.0357   0.4222   0.3375   0.2591     7856
        climo_mean   0.1248   0.0950   0.0055   0.7767   0.1497   0.7688     7856
      climo_median   0.1287   0.0924   0.0056   0.7993   0.1352   0.7565     7856
             conor   0.1196   0.0912   0.0048   0.7964   0.1363   0.7875     7856
     interp_clim_a   0.1541   0.1228  -0.0151   0.5995   0.2436   0.6543     7856
     interp_clim_b   0.1565   0.1243  -0.0135   0.5939   0.2488   0.6417     7856
     interp_clim_c   0.1532   0.1214  -0.0150   0.6108   0.2364   0.6573     7856
       whit_a_0p50   0.2581   0.1988  -0.0227   0.4885   0.3076   0.2484     7856
       whit_a_0p20   0.2660   0.2036  -0.0152   0.5157   0.2975   0.2461     7856
       whit_a_0p10   0.2722   0.2083  -0.0118   0.5295   0.2921   0.2417     7856
       whit_a_0p05   0.2776   0.2126  -0.0098   0.5381   0.2885   0.2370     7856
       whit_a_0p01   0.2844   0.2182  -0.0082   0.5463   0.2848   0.2303     7856

Randomly drop a six month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2121   0.1653   0.0445   0.5095   0.3332   0.3671     7850
        climo_mean   0.1387   0.1047   0.0017   0.6848   0.1872   0.6924     7850
      climo_median   0.1423   0.1007  -0.0016   0.7050   0.1721   0.6773     7850
             conor   0.1325   0.0994   0.0010   0.7118   0.1706   0.7193     7850
     interp_clim_a   0.1538   0.1195   0.0231   0.5972   0.2602   0.6320     7850
     interp_clim_b   0.1580   0.1222   0.0260   0.5885   0.2682   0.6122     7850
     interp_clim_c   0.1534   0.1181   0.0214   0.6072   0.2526   0.6317     7850
       whit_a_0p50   0.2215   0.1687   0.0301   0.6096   0.2599   0.3756     7850
       whit_a_0p20   0.2283   0.1729   0.0238   0.6457   0.2323   0.3735     7850
       whit_a_0p10   0.2343   0.1772   0.0207   0.6620   0.2196   0.3665     7850
       whit_a_0p05   0.2395   0.1813   0.0186   0.6714   0.2120   0.3592     7850
       whit_a_0p01   0.2462   0.1867   0.0163   0.6796   0.2049   0.3485     7850

