MGRS: 14T
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1297   0.0975   0.0018   0.7536   0.1564   0.7468     7856
        climo_mean   0.1303   0.0983   0.0027   0.7510   0.1589   0.7445     7856
      climo_median   0.1341   0.0949   0.0014   0.7732   0.1437   0.7316     7856
             conor   0.1113   0.0830  -0.0001   0.8508   0.0935   0.8149     7856
     interp_clim_a   0.1149   0.0868   0.0022   0.7523   0.1576   0.8047     7856
     interp_clim_b   0.1158   0.0872   0.0024   0.7518   0.1581   0.8012     7856
     interp_clim_c   0.1156   0.0855   0.0016   0.7634   0.1500   0.8004     7856
       whit_a_0p50   0.1326   0.0993   0.0003   0.7721   0.1433   0.7367     7856
       whit_a_0p20   0.1306   0.0970   0.0001   0.8029   0.1238   0.7471     7856
       whit_a_0p10   0.1306   0.0967   0.0001   0.8182   0.1142   0.7493     7856
       whit_a_0p05   0.1313   0.0971   0.0001   0.8280   0.1081   0.7487     7856
       whit_a_0p01   0.1329   0.0981   0.0003   0.8377   0.1021   0.7455     7856

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1128   0.0873  -0.0123   0.7781   0.1463   0.7986     7856
        climo_mean   0.1228   0.0934   0.0072   0.7600   0.1787   0.7584     7856
      climo_median   0.1270   0.0915   0.0099   0.7780   0.1686   0.7439     7856
             conor   0.0932   0.0717   0.0022   0.8807   0.0875   0.8609     7856
     interp_clim_a   0.1023   0.0795  -0.0026   0.7690   0.1625   0.8373     7856
     interp_clim_b   0.1024   0.0795  -0.0026   0.7690   0.1626   0.8371     7856
     interp_clim_c   0.1032   0.0786  -0.0012   0.7780   0.1575   0.8326     7856
       whit_a_0p50   0.1164   0.0895  -0.0058   0.7818   0.1502   0.7827     7856
       whit_a_0p20   0.1121   0.0858  -0.0024   0.8154   0.1296   0.7984     7856
       whit_a_0p10   0.1110   0.0847  -0.0010   0.8328   0.1185   0.8032     7856
       whit_a_0p05   0.1109   0.0846  -0.0002   0.8442   0.1112   0.8043     7856
       whit_a_0p01   0.1118   0.0853   0.0005   0.8555   0.1038   0.8027     7856

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1551   0.1153   0.0267   0.6401   0.2076   0.5127     7850
        climo_mean   0.1438   0.1081  -0.0012   0.5345   0.2329   0.5406     7850
      climo_median   0.1489   0.1039  -0.0094   0.5392   0.2223   0.5106     7850
             conor   0.1339   0.0997  -0.0033   0.6663   0.1645   0.6075     7850
     interp_clim_a   0.1340   0.1002   0.0128   0.5873   0.2203   0.6054     7850
     interp_clim_b   0.1361   0.1013   0.0134   0.5857   0.2217   0.5925     7850
     interp_clim_c   0.1354   0.0989   0.0087   0.5896   0.2150   0.5946     7850
       whit_a_0p50   0.1576   0.1162   0.0136   0.6435   0.1928   0.4960     7850
       whit_a_0p20   0.1587   0.1165   0.0069   0.6536   0.1811   0.4933     7850
       whit_a_0p10   0.1605   0.1177   0.0042   0.6595   0.1754   0.4882     7850
       whit_a_0p05   0.1624   0.1192   0.0027   0.6639   0.1717   0.4823     7850
       whit_a_0p01   0.1654   0.1216   0.0015   0.6691   0.1679   0.4732     7850

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1779   0.1317   0.0316   0.4825   0.2588   0.3607     6448
        climo_mean   0.1588   0.1187   0.0129   0.4568   0.2514   0.4442     6448
      climo_median   0.1653   0.1115  -0.0011   0.4463   0.2421   0.3989     6448
             conor   0.1532   0.1138   0.0071   0.5703   0.1958   0.4926     6448
     interp_clim_a   0.1544   0.1153   0.0222   0.4697   0.2551   0.4823     6448
     interp_clim_b   0.1590   0.1180   0.0240   0.4660   0.2585   0.4520     6448
     interp_clim_c   0.1564   0.1129   0.0152   0.4644   0.2505   0.4625     6448
       whit_a_0p50   0.1761   0.1290   0.0083   0.4797   0.2368   0.3562     6448
       whit_a_0p20   0.1790   0.1311   0.0070   0.4959   0.2284   0.3501     6448
       whit_a_0p10   0.1820   0.1334   0.0075   0.5057   0.2246   0.3432     6448
       whit_a_0p05   0.1847   0.1355   0.0082   0.5130   0.2221   0.3365     6448
       whit_a_0p01   0.1886   0.1386   0.0092   0.5216   0.2193   0.3273     6448

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1576   0.1204   0.0063   0.6628   0.2146   0.6304     7856
        climo_mean   0.1341   0.1010   0.0020   0.7331   0.1668   0.7311     7856
      climo_median   0.1386   0.0975  -0.0001   0.7520   0.1531   0.7143     7856
             conor   0.1202   0.0902  -0.0003   0.7947   0.1265   0.7841     7856
     interp_clim_a   0.1284   0.0985   0.0041   0.6980   0.1907   0.7586     7856
     interp_clim_b   0.1298   0.0993   0.0048   0.6958   0.1928   0.7526     7856
     interp_clim_c   0.1290   0.0971   0.0031   0.7074   0.1838   0.7540     7856
       whit_a_0p50   0.1596   0.1207   0.0039   0.7096   0.1833   0.6292     7856
       whit_a_0p20   0.1594   0.1199   0.0025   0.7420   0.1619   0.6370     7856
       whit_a_0p10   0.1610   0.1208   0.0019   0.7582   0.1512   0.6359     7856
