MGRS: 14S
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1031   0.0798  -0.0001   0.8327   0.0917   0.8314     8343
        climo_mean   0.1217   0.0927   0.0064   0.7671   0.1343   0.7655     8343
      climo_median   0.1245   0.0900   0.0052   0.7867   0.1223   0.7557     8343
             conor   0.0922   0.0714  -0.0009   0.8900   0.0596   0.8659     8343
     interp_clim_a   0.0986   0.0769   0.0032   0.7999   0.1130   0.8488     8343
     interp_clim_b   0.0985   0.0769   0.0031   0.8000   0.1129   0.8489     8343
     interp_clim_c   0.0992   0.0760   0.0025   0.8097   0.1070   0.8454     8343
       whit_a_0p50   0.1047   0.0812   0.0001   0.8442   0.0857   0.8264     8343
       whit_a_0p20   0.1035   0.0800  -0.0001   0.8640   0.0746   0.8313     8343
       whit_a_0p10   0.1038   0.0801  -0.0002   0.8737   0.0691   0.8313     8343
       whit_a_0p05   0.1046   0.0808  -0.0004   0.8801   0.0655   0.8295     8343
       whit_a_0p01   0.1063   0.0822  -0.0006   0.8865   0.0617   0.8252     8343

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1013   0.0786  -0.0106   0.8396   0.0908   0.8564     8343
        climo_mean   0.1236   0.0935   0.0125   0.7797   0.1518   0.7855     8343
      climo_median   0.1284   0.0916   0.0149   0.7968   0.1433   0.7704     8343
             conor   0.0867   0.0673   0.0022   0.9029   0.0636   0.8936     8343
     interp_clim_a   0.0976   0.0758   0.0010   0.8097   0.1213   0.8689     8343
     interp_clim_b   0.0976   0.0758   0.0009   0.8095   0.1213   0.8690     8343
     interp_clim_c   0.0988   0.0753   0.0021   0.8182   0.1170   0.8641     8343
       whit_a_0p50   0.1039   0.0805  -0.0051   0.8460   0.0922   0.8473     8343
       whit_a_0p20   0.1014   0.0785  -0.0022   0.8677   0.0814   0.8545     8343
       whit_a_0p10   0.1008   0.0781  -0.0010   0.8789   0.0756   0.8565     8343
       whit_a_0p05   0.1010   0.0782  -0.0002   0.8863   0.0717   0.8564     8343
       whit_a_0p01   0.1020   0.0791   0.0004   0.8939   0.0675   0.8542     8343

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1053   0.0808   0.0094   0.7916   0.1064   0.7221     8325
        climo_mean   0.1180   0.0893   0.0002   0.6426   0.1665   0.6402     8325
      climo_median   0.1215   0.0867  -0.0044   0.6550   0.1562   0.6208     8325
             conor   0.0965   0.0739  -0.0035   0.8145   0.0829   0.7631     8325
     interp_clim_a   0.0991   0.0761   0.0048   0.7171   0.1365   0.7477     8325
     interp_clim_b   0.0992   0.0761   0.0048   0.7174   0.1364   0.7472     8325
     interp_clim_c   0.1001   0.0755   0.0025   0.7233   0.1313   0.7413     8325
       whit_a_0p50   0.1063   0.0814   0.0039   0.7867   0.1032   0.7155     8325
       whit_a_0p20   0.1066   0.0816   0.0009   0.7986   0.0946   0.7158     8325
       whit_a_0p10   0.1077   0.0824  -0.0004   0.8059   0.0899   0.7122     8325
       whit_a_0p05   0.1092   0.0835  -0.0012   0.8113   0.0867   0.7072     8325
       whit_a_0p01   0.1116   0.0855  -0.0019   0.8173   0.0831   0.6985     8325

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1125   0.0858   0.0084   0.7453   0.1204   0.6522     8315
        climo_mean   0.1217   0.0924   0.0021   0.5880   0.1832   0.5757     8315
      climo_median   0.1252   0.0898  -0.0050   0.6020   0.1700   0.5549     8315
             conor   0.1041   0.0795  -0.0007   0.7684   0.1011   0.6964     8315
     interp_clim_a   0.1050   0.0803   0.0052   0.6666   0.1518   0.6849     8315
     interp_clim_b   0.1051   0.0803   0.0052   0.6672   0.1515   0.6845     8315
     interp_clim_c   0.1060   0.0793   0.0017   0.6736   0.1452   0.6775     8315
       whit_a_0p50   0.1135   0.0862  -0.0021   0.7387   0.1128   0.6444     8315
       whit_a_0p20   0.1139   0.0866  -0.0043   0.7490   0.1061   0.6453     8315
       whit_a_0p10   0.1149   0.0875  -0.0046   0.7558   0.1028   0.6418     8315
       whit_a_0p05   0.1163   0.0886  -0.0044   0.7611   0.1006   0.6369     8315
       whit_a_0p01   0.1185   0.0905  -0.0040   0.7675   0.0982   0.6285     8315

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1225   0.0946   0.0012   0.7710   0.1265   0.7576     8343
        climo_mean   0.1232   0.0932   0.0072   0.7663   0.1351   0.7555     8343
      climo_median   0.1274   0.0909   0.0060   0.7844   0.1240   0.7405     8343
             conor   0.1016   0.0784   0.0026   0.8373   0.0917   0.8329     8343
     interp_clim_a   0.1079   0.0835   0.0042   0.7686   0.1308   0.8145     8343
     interp_clim_b   0.1079   0.0836   0.0042   0.7685   0.1309   0.8143     8343
     interp_clim_c   0.1087   0.0827   0.0036   0.7777   0.1253   0.8105     8343
       whit_a_0p50   0.1241   0.0957   0.0011   0.8029   0.1090   0.7541     8343
       whit_a_0p20   0.1245   0.0958   0.0009   0.8245   0.0970   0.7555     8343
       whit_a_0p10   0.1259   0.0967   0.0008   0.8354   0.0909   0.7527     8343
       whit_a_0p05   0.1276   0.0979   0.0007   0.8425   0.0868   0.7485     8343
       whit_a_0p01   0.1304   0.1001   0.0004   0.8498   0.0826   0.7407     8343

Randomly drop a two month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1227   0.0954  -0.0283   0.7879   0.1056   0.7951     8343
        climo_mean   0.1247   0.0943   0.0111   0.7779   0.1513   0.7784     8343
      climo_median   0.1284   0.0918   0.0128   0.7950   0.1422   0.7664     8343
             conor   0.0998   0.0767   0.0047   0.8513   0.0986   0.8572     8343
     interp_clim_a   0.1079   0.0836  -0.0086   0.7829   0.1285   0.8373     8343
     interp_clim_b   0.1080   0.0836  -0.0088   0.7826   0.1285   0.8372     8343
     interp_clim_c   0.1085   0.0827  -0.0078   0.7914   0.1239   0.8339     8343
       whit_a_0p50   0.1240   0.0960  -0.0165   0.8165   0.0993   0.7842     8343
       whit_a_0p20   0.1227   0.0950  -0.0135   0.8409   0.0869   0.7895     8343
       whit_a_0p10   0.1231   0.0953  -0.0124   0.8531   0.0804   0.7895     8343
       whit_a_0p05   0.1241   0.0960  -0.0118   0.8608   0.0761   0.7875     8343
       whit_a_0p01   0.1262   0.0977  -0.0113   0.8685   0.0717   0.7824     8343

Randomly drop a two month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1222   0.0951   0.0289   0.7810   0.1312   0.6690     8325
        climo_mean   0.1178   0.0896   0.0006   0.6547   0.1618   0.6563     8325
      climo_median   0.1207   0.0864  -0.0040   0.6715   0.1494   0.6407     8325
             conor   0.1008   0.0781  -0.0008   0.7538   0.1142   0.7482     8325
     interp_clim_a   0.1056   0.0821   0.0148   0.7179   0.1465   0.7292     8325
     interp_clim_b   0.1057   0.0822   0.0148   0.7184   0.1464   0.7286     8325
     interp_clim_c   0.1061   0.0812   0.0124   0.7263   0.1403   0.7247     8325
       whit_a_0p50   0.1238   0.0959   0.0167   0.7839   0.1176   0.6530     8325
       whit_a_0p20   0.1258   0.0971   0.0140   0.7983   0.1082   0.6477     8325
       whit_a_0p10   0.1282   0.0989   0.0130   0.8065   0.1034   0.6402     8325
       whit_a_0p05   0.1307   0.1009   0.0125   0.8122   0.1002   0.6318     8325
       whit_a_0p01   0.1346   0.1040   0.0121   0.8184   0.0969   0.6188     8325

Randomly drop a three month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1395   0.1085  -0.0019   0.7168   0.1538   0.6871     8343
        climo_mean   0.1221   0.0921   0.0053   0.7688   0.1324   0.7599     8343
      climo_median   0.1254   0.0893   0.0035   0.7891   0.1194   0.7485     8343
             conor   0.1065   0.0815   0.0017   0.8179   0.1018   0.8169     8343
     interp_clim_a   0.1141   0.0887   0.0017   0.7428   0.1431   0.7928     8343
     interp_clim_b   0.1143   0.0888   0.0017   0.7426   0.1431   0.7924     8343
     interp_clim_c   0.1143   0.0877   0.0008   0.7530   0.1366   0.7908     8343
       whit_a_0p50   0.1403   0.1082  -0.0022   0.7703   0.1241   0.6914     8343
       whit_a_0p20   0.1418   0.1093  -0.0018   0.7938   0.1116   0.6906     8343
       whit_a_0p10   0.1440   0.1109  -0.0016   0.8052   0.1055   0.6860     8343
       whit_a_0p05   0.1463   0.1127  -0.0015   0.8126   0.1015   0.6802     8343
       whit_a_0p01   0.1499   0.1155  -0.0013   0.8201   0.0975   0.6705     8343

Randomly drop a three month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1403   0.1077  -0.0367   0.7381   0.1259   0.7338     8343
        climo_mean   0.1232   0.0931   0.0104   0.7816   0.1459   0.7813     8343
      climo_median   0.1271   0.0908   0.0120   0.7989   0.1368   0.7691     8343
             conor   0.1068   0.0815   0.0069   0.8313   0.1116   0.8351     8343
     interp_clim_a   0.1148   0.0888  -0.0132   0.7599   0.1359   0.8149     8343
     interp_clim_b   0.1149   0.0889  -0.0133   0.7595   0.1360   0.8147     8343
     interp_clim_c   0.1151   0.0879  -0.0123   0.7685   0.1313   0.8124     8343
       whit_a_0p50   0.1409   0.1077  -0.0203   0.7886   0.1109   0.7236     8343
       whit_a_0p20   0.1423   0.1088  -0.0169   0.8134   0.0989   0.7220     8343
       whit_a_0p10   0.1443   0.1105  -0.0157   0.8256   0.0926   0.7177     8343
       whit_a_0p05   0.1465   0.1123  -0.0149   0.8334   0.0884   0.7125     8343
       whit_a_0p01   0.1498   0.1152  -0.0142   0.8411   0.0843   0.7040     8343

Randomly drop a three month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1380   0.1078   0.0360   0.7483   0.1563   0.6353     8325
        climo_mean   0.1205   0.0916   0.0026   0.6848   0.1532   0.6852     8325
      climo_median   0.1237   0.0887  -0.0022   0.7014   0.1405   0.6696     8325
             conor   0.1064   0.0821  -0.0004   0.7502   0.1189   0.7543     8325
     interp_clim_a   0.1134   0.0884   0.0193   0.7165   0.1548   0.7294     8325
     interp_clim_b   0.1135   0.0885   0.0194   0.7167   0.1548   0.7288     8325
     interp_clim_c   0.1138   0.0875   0.0169   0.7248   0.1484   0.7254     8325
       whit_a_0p50   0.1399   0.1084   0.0191   0.7666   0.1307   0.6186     8325
       whit_a_0p20   0.1428   0.1106   0.0161   0.7828   0.1199   0.6115     8325
       whit_a_0p10   0.1458   0.1128   0.0150   0.7917   0.1146   0.6029     8325
       whit_a_0p05   0.1488   0.1150   0.0144   0.7978   0.1110   0.5939     8325
       whit_a_0p01   0.1532   0.1184   0.0137   0.8038   0.1075   0.5807     8325

Randomly drop a four month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
