MGRS: 14S
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1545   0.1204  -0.0017   0.6696   0.1796   0.6199     8343
        climo_mean   0.1227   0.0932   0.0056   0.7664   0.1339   0.7584     8343
      climo_median   0.1267   0.0910   0.0044   0.7858   0.1220   0.7441     8343
             conor   0.1105   0.0849   0.0028   0.8041   0.1103   0.8035     8343
     interp_clim_a   0.1202   0.0937   0.0019   0.7180   0.1567   0.7709     8343
     interp_clim_b   0.1204   0.0939   0.0019   0.7176   0.1570   0.7702     8343
     interp_clim_c   0.1206   0.0929   0.0014   0.7277   0.1508   0.7680     8343
       whit_a_0p50   0.1559   0.1209  -0.0024   0.7375   0.1417   0.6279     8343
       whit_a_0p20   0.1591   0.1233  -0.0028   0.7612   0.1282   0.6230     8343
       whit_a_0p10   0.1626   0.1260  -0.0032   0.7727   0.1216   0.6150     8343
       whit_a_0p05   0.1661   0.1288  -0.0035   0.7801   0.1172   0.6060     8343
       whit_a_0p01   0.1712   0.1331  -0.0040   0.7875   0.1126   0.5924     8343

Randomly drop a four month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1518   0.1166  -0.0398   0.6923   0.1453   0.6799     8343
        climo_mean   0.1209   0.0916   0.0100   0.7855   0.1390   0.7831     8343
      climo_median   0.1244   0.0890   0.0110   0.8042   0.1288   0.7722     8343
             conor   0.1085   0.0824   0.0071   0.8221   0.1141   0.8250     8343
     interp_clim_a   0.1179   0.0911  -0.0149   0.7389   0.1422   0.8004     8343
     interp_clim_b   0.1180   0.0912  -0.0150   0.7385   0.1423   0.8001     8343
     interp_clim_c   0.1180   0.0902  -0.0144   0.7482   0.1370   0.7982     8343
       whit_a_0p50   0.1519   0.1161  -0.0224   0.7606   0.1217   0.6740     8343
       whit_a_0p20   0.1544   0.1184  -0.0193   0.7892   0.1075   0.6707     8343
       whit_a_0p10   0.1575   0.1212  -0.0185   0.8034   0.0998   0.6639     8343
       whit_a_0p05   0.1609   0.1240  -0.0182   0.8125   0.0947   0.6558     8343
       whit_a_0p01   0.1661   0.1284  -0.0181   0.8212   0.0895   0.6427     8343

Randomly drop a four month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1510   0.1182   0.0355   0.7078   0.1812   0.6039     8325
        climo_mean   0.1205   0.0917   0.0013   0.7225   0.1397   0.7213     8325
      climo_median   0.1239   0.0893  -0.0030   0.7405   0.1265   0.7069     8325
             conor   0.1089   0.0839  -0.0011   0.7674   0.1149   0.7721     8325
     interp_clim_a   0.1177   0.0918   0.0184   0.7151   0.1604   0.7416     8325
     interp_clim_b   0.1179   0.0920   0.0185   0.7149   0.1607   0.7406     8325
     interp_clim_c   0.1179   0.0912   0.0163   0.7241   0.1538   0.7382     8325
       whit_a_0p50   0.1529   0.1181   0.0171   0.7489   0.1423   0.5959     8325
       whit_a_0p20   0.1570   0.1208   0.0136   0.7668   0.1299   0.5861     8325
       whit_a_0p10   0.1610   0.1239   0.0124   0.7760   0.1241   0.5752     8325
       whit_a_0p05   0.1649   0.1270   0.0118   0.7819   0.1206   0.5642     8325
       whit_a_0p01   0.1706   0.1317   0.0113   0.7874   0.1173   0.5479     8325

Randomly drop a six month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1869   0.1438   0.0011   0.5880   0.2270   0.4717     8343
        climo_mean   0.1219   0.0919   0.0061   0.7644   0.1353   0.7637     8343
      climo_median   0.1254   0.0895   0.0051   0.7830   0.1241   0.7510     8343
             conor   0.1139   0.0864   0.0048   0.7914   0.1192   0.7934     8343
     interp_clim_a   0.1329   0.1032   0.0036   0.6762   0.1812   0.7212     8343
     interp_clim_b   0.1332   0.1034   0.0036   0.6756   0.1815   0.7198     8343
     interp_clim_c   0.1329   0.1024   0.0031   0.6855   0.1756   0.7200     8343
       whit_a_0p50   0.1913   0.1460   0.0001   0.6652   0.1837   0.4839     8343
       whit_a_0p20   0.1969   0.1500  -0.0009   0.6922   0.1679   0.4778     8343
       whit_a_0p10   0.2016   0.1537  -0.0017   0.7051   0.1600   0.4696     8343
       whit_a_0p05   0.2059   0.1570  -0.0025   0.7134   0.1548   0.4615     8343
       whit_a_0p01   0.2118   0.1618  -0.0034   0.7214   0.1493   0.4495     8343

Randomly drop a six month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1834   0.1411  -0.0237   0.5928   0.2067   0.4881     8343
        climo_mean   0.1199   0.0910   0.0095   0.7780   0.1351   0.7693     8343
      climo_median   0.1239   0.0888   0.0098   0.7970   0.1246   0.7560     8343
             conor   0.1131   0.0860   0.0084   0.7984   0.1224   0.7944     8343
     interp_clim_a   0.1304   0.1017  -0.0071   0.6854   0.1709   0.7285     8343
     interp_clim_b   0.1307   0.1018  -0.0071   0.6847   0.1712   0.7274     8343
     interp_clim_c   0.1305   0.1008  -0.0069   0.6949   0.1656   0.7271     8343
       whit_a_0p50   0.1868   0.1431  -0.0176   0.6753   0.1661   0.5017     8343
       whit_a_0p20   0.1926   0.1477  -0.0149   0.7008   0.1543   0.4926     8343
       whit_a_0p10   0.1976   0.1517  -0.0135   0.7116   0.1497   0.4817     8343
       whit_a_0p05   0.2022   0.1553  -0.0124   0.7177   0.1473   0.4712     8343
       whit_a_0p01   0.2086   0.1605  -0.0112   0.7227   0.1456   0.4557     8343

Randomly drop a six month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1872   0.1467   0.0277   0.6029   0.2384   0.4731     8325
        climo_mean   0.1227   0.0925   0.0057   0.7593   0.1335   0.7536     8325
      climo_median   0.1265   0.0897   0.0029   0.7786   0.1204   0.7396     8325
             conor   0.1141   0.0865   0.0035   0.7872   0.1164   0.7864     8325
     interp_clim_a   0.1327   0.1041   0.0167   0.6811   0.1859   0.7177     8325
     interp_clim_b   0.1330   0.1044   0.0168   0.6806   0.1863   0.7159     8325
     interp_clim_c   0.1325   0.1030   0.0153   0.6908   0.1794   0.7167     8325
       whit_a_0p50   0.1906   0.1467   0.0212   0.6726   0.1950   0.4843     8325
       whit_a_0p20   0.1951   0.1499   0.0175   0.6984   0.1775   0.4798     8325
       whit_a_0p10   0.1994   0.1533   0.0149   0.7113   0.1681   0.4721     8325
       whit_a_0p05   0.2035   0.1567   0.0128   0.7196   0.1616   0.4639     8325
       whit_a_0p01   0.2093   0.1615   0.0103   0.7278   0.1547   0.4516     8325

